,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
0,8,Geoff Blum,2000,1211,3935,3554,889,428.0,39.0,394,87,1360,293,265.0,28.0,31.0,0,0,66,207,643,148,61,0,5,66,5,18.0,19.0,blumge01,8,3.753503,HOU
1,15,Morgan Ensberg,2000,731,2580,2204,579,347.0,15.0,340,110,1031,332,314.0,18.0,21.0,0,0,8,0,639,1,0,0,0,0,2,22.0,19.0,ensbemo01,15,13.840311300000002,HOU
2,61,Vinny Castilla,1990,956,3805,3516,1049,611.0,33.0,518,203,1858,223,185.0,38.0,27.0,0,0,2,14,786,144,0,0,0,0,0,22.0,32.0,castivi02,61,18.1038236,COL
3,61,Vinny Castilla,2000,898,3579,3306,835,494.0,38.0,384,117,1391,200,174.0,26.0,33.0,0,0,7,0,870,3,0,0,0,0,0,11.0,11.0,castivi02,61,4.8762364,ATL
4,65,Mark DeRosa,2000,1020,3545,3154,868,430.0,31.0,482,92,1340,299,283.0,16.0,47.0,0,0,23,304,311,133,59,0,160,219,13,21.0,15.0,derosma01,65,10.8417103,ATL
5,65,Mark DeRosa,2010,209,538,468,106,64.0,5.0,54,8,154,59,58.0,1.0,5.0,0,0,30,39,52,1,31,0,7,38,14,2.0,3.0,derosma01,65,0.216839,SFG
6,71,Matt Franco,1990,367,575,504,131,58.0,3.0,65,11,187,65,52.0,13.0,2.0,2,0,46,3,73,0,28,0,4,32,7,1.0,1.0,francma01,71,1.20809094,NYM
7,79,Wes Helms,2000,1009,2603,2334,613,327.0,36.0,243,70,976,183,171.0,12.0,39.0,0,0,300,0,499,0,8,0,4,12,4,3.0,10.0,helmswe01,79,1.095778,ATL
8,85,Chipper Jones,1990,779,3386,2890,871,524.0,31.0,542,153,1530,459,431.0,28.0,3.0,0,0,0,0,707,42,18,0,9,27,0,83.0,19.0,jonesch06,85,19.731319600000003,ATL
9,85,Chipper Jones,2000,1387,5887,4935,1535,921.0,54.0,916,273,2700,884,757.0,127.0,14.0,0,0,0,0,977,7,338,0,0,338,23,59.0,25.0,jonesch06,85,42.34383,ATL
10,85,Chipper Jones,2010,333,1341,1159,320,178.0,12.0,161,42,525,169,147.0,22.0,1.0,0,0,0,0,308,0,0,0,0,0,5,8.0,2.0,jonesch06,85,5.773164,ATL
11,133,Bill Hall,2000,865,3079,2796,701,379.0,24.0,380,104,1234,236,224.0,12.0,10.0,0,0,0,104,266,261,22,138,15,175,0,50.0,37.0,hallbi03,133,5.304692299999999,MIL
12,136,Lenny Harris,1990,1178,2934,2681,742,245.0,17.0,325,24,958,186,167.0,19.0,12.0,1,0,55,244,350,34,98,3,139,240,3,92.0,39.0,harrile01,136,4.5497652,CIN
13,136,Lenny Harris,2000,594,946,865,218,90.0,6.0,92,10,294,68,61.0,7.0,3.0,0,0,32,4,101,0,39,0,21,60,9,21.0,5.0,harrile01,136,-0.6988410400000001,FLA
14,167,Miguel Cairo,2010,263,658,595,151,74.0,7.0,72,13,225,39,38.0,1.0,12.0,0,0,43,27,108,1,0,0,1,1,3,11.0,4.0,cairomi01,167,1.4934169,CIN
15,207,Scott Rolen,1990,465,2011,1713,479,297.0,21.0,297,82,856,249,237.0,12.0,28.0,0,0,0,0,463,0,0,0,0,0,0,42.0,17.0,rolensc01,207,15.108186499999999,PHI
16,207,Scott Rolen,2000,1283,5371,4668,1331,832.0,58.0,791,201,2321,560,518.0,42.0,84.0,0,0,0,0,1280,0,0,0,0,0,0,72.0,29.0,rolensc01,207,44.80973,STL
17,207,Scott Rolen,2010,290,1136,1017,267,158.0,14.0,123,33,451,90,87.0,3.0,15.0,0,0,0,0,280,0,0,0,0,0,0,4.0,3.0,rolensc01,207,5.051875,CIN
18,263,Kevin Orie,1990,303,1107,983,244,111.0,10.0,113,22,383,93,87.0,6.0,16.0,0,0,1,0,281,3,0,0,0,0,0,5.0,3.0,orieke01,263,2.849969,CHC
19,272,Chris Stynes,2000,525,1707,1541,423,188.0,9.0,235,37,641,130,124.0,6.0,14.0,0,0,0,83,353,0,9,0,2,11,0,13.0,9.0,stynech01,272,2.3888860000000003,BOS
20,331,Matt Williams,1980,220,747,693,137,90.0,4.0,76,34,280,38,33.0,5.0,5.0,0,0,0,0,133,114,0,0,0,0,0,5.0,6.0,willima04,331,2.805087,SFG
21,331,Matt Williams,1990,1340,5621,5179,1438,960.0,46.0,774,300,2633,352,277.0,75.0,42.0,0,0,13,0,1316,5,0,0,0,0,0,43.0,26.0,willima04,331,35.01473,SFG
22,331,Matt Williams,2000,306,1227,1128,303,168.0,12.0,147,44,507,79,73.0,6.0,8.0,0,0,0,0,294,2,0,0,0,0,1,5.0,3.0,willima04,331,4.134411,ARI
23,340,Adrian Beltre,1990,229,828,733,190,89.0,5.0,102,22,302,75,63.0,12.0,9.0,0,0,0,0,226,2,0,0,0,0,0,21.0,8.0,beltrad01,340,2.85201,LAD
24,340,Adrian Beltre,2000,1452,6049,5552,1510,817.0,42.0,726,228,2548,403,360.0,43.0,44.0,0,0,0,1,1438,5,0,0,0,0,10,90.0,30.0,beltrad01,340,30.431614,LAD
25,340,Adrian Beltre,2010,1252,5253,4783,1466,801.0,56.0,696,227,2459,370,313.0,57.0,44.0,0,0,0,0,1095,0,0,0,0,0,146,10.0,4.0,beltrad01,340,43.23687,TEX
26,358,Dave Hansen,1990,684,1268,1096,291,121.0,7.0,108,17,396,158,146.0,12.0,5.0,0,0,32,1,297,1,0,0,2,2,2,2.0,5.0,hanseda01,358,3.6192638999999995,LAD
27,362,Tyler Houston,2000,341,1009,936,256,135.0,1.0,107,39,427,57,49.0,8.0,5.0,0,23,52,0,185,0,0,0,0,0,0,3.0,1.0,houstty01,362,0.7504594,MIL
28,386,Michael Barrett,1990,134,496,456,134,54.0,1.0,56,9,201,35,31.0,4.0,4.0,0,62,0,0,69,2,0,0,0,0,0,0.0,2.0,barremi01,386,0.9163499,MON
29,412,Jose Macias,2000,654,1785,1642,421,171.0,12.0,199,25,607,93,92.0,1.0,10.0,0,0,0,120,211,5,57,110,36,203,4,43.0,21.0,maciajo01,412,0.9779140000000002,DET
30,424,Fernando Tatis,1990,359,1459,1292,364,194.0,7.0,202,53,608,132,125.0,7.0,22.0,0,0,0,0,356,3,0,0,0,0,0,37.0,14.0,tatisfe01,424,6.5274294,STL
31,424,Fernando Tatis,2000,549,1937,1694,431,248.0,17.0,219,58,718,183,174.0,9.0,37.0,0,0,52,8,316,2,80,0,42,122,12,13.0,7.0,tatisfe01,424,2.8178592999999994,MON
32,434,David Bell,2000,945,3784,3367,865,422.0,35.0,413,88,1335,319,302.0,17.0,37.0,0,0,6,63,886,4,0,0,0,0,0,9.0,9.0,bellda01,434,11.9922881,PHI
33,443,Pedro Feliz,2000,1165,4115,3845,976,558.0,33.0,451,135,1624,217,200.0,17.0,9.0,0,1,101,0,899,26,97,0,4,101,1,12.0,11.0,felizpe01,443,7.504570928,SFG
34,443,Pedro Feliz,2010,137,429,409,89,40.0,6.0,36,5,120,13,12.0,1.0,1.0,0,0,15,0,102,0,0,0,0,0,0,1.0,1.0,felizpe01,443,-0.664406,HOU
35,460,Bill Mueller,1990,444,1795,1538,457,158.0,15.0,236,18,611,216,213.0,3.0,8.0,0,0,0,21,412,0,0,0,0,0,0,11.0,8.0,muellbi02,460,6.441282000000001,SFG
36,460,Bill Mueller,2000,772,3091,2685,772,335.0,33.0,427,67,1182,327,313.0,14.0,27.0,0,0,0,32,716,1,0,0,0,0,3,9.0,10.0,muellbi02,460,11.480313000000002,BOS
37,511,Mike Lowell,2000,1423,5895,5272,1485,879.0,76.0,715,206,2483,499,456.0,43.0,47.0,0,0,0,8,1380,0,0,0,0,0,16,30.0,14.0,lowelmi01,511,30.819638999999995,FLA
38,538,Edgardo Alfonzo,1990,677,2718,2406,698,339.0,26.0,363,62,1032,250,244.0,6.0,12.0,0,0,0,256,381,34,0,0,0,0,0,31.0,12.0,alfoned01,538,11.210754,NYM
39,538,Edgardo Alfonzo,2000,829,3390,2979,834,405.0,29.0,414,84,1256,346,330.0,16.0,29.0,0,0,2,293,508,0,0,0,0,0,3,22.0,5.0,alfoned01,538,15.523104,NYM
40,592,Ty Wigginton,2000,906,3431,3125,846,425.0,23.0,394,121,1413,241,228.0,13.0,38.0,0,0,124,128,566,9,39,0,9,48,41,33.0,20.0,wiggity01,592,7.404445999999999,NYM
41,603,Sean Burroughs,2000,440,1690,1537,431,134.0,5.0,179,11,551,115,102.0,13.0,26.0,1,0,0,13,395,1,0,0,0,0,0,19.0,6.0,burrose01,603,2.8704810000000003,SDP
42,636,Phil Nevin,1990,381,1289,1147,279,179.0,9.0,139,51,498,119,116.0,3.0,12.0,0,105,20,0,124,0,81,0,9,90,35,3.0,1.0,nevinph01,636,4.5182495000000005,DET
43,636,Phil Nevin,2000,836,3414,3041,852,564.0,24.0,445,157,1478,330,303.0,27.0,18.0,0,4,329,0,359,0,8,0,31,39,82,15.0,4.0,nevinph01,636,15.490995999999999,SDP
44,666,Dave Hollins,1990,967,3886,3324,867,482.0,30.0,577,112,1403,463,435.0,28.0,65.0,0,0,91,0,778,1,0,0,3,3,31,47.0,26.0,hollida01,666,14.8823029,PHI
45,681,Tomas Perez,2000,611,1491,1371,332,144.0,9.0,159,22,487,87,63.0,24.0,6.0,1,0,47,149,159,129,1,0,5,6,0,4.0,3.0,perezto03,681,-0.6025654,PHI
46,684,Placido Polanco,2010,462,1869,1703,471,144.0,21.0,183,14,586,115,112.0,3.0,21.0,0,0,0,13,430,0,0,0,0,0,1,10.0,0.0,polanpl01,684,5.6052966999999985,PHI
47,732,Abraham Nunez,2000,897,2391,2135,525,184.0,6.0,252,17,686,207,186.0,21.0,9.0,1,0,0,235,293,161,1,0,0,1,2,24.0,13.0,nunezab01,732,2.69994863,PIT
48,734,Aramis Ramirez,2000,1320,5486,4956,1434,915.0,57.0,707,258,2544,400,358.0,42.0,72.0,0,0,0,0,1290,0,0,0,0,0,7,15.0,13.0,ramirar01,734,28.63720600000001,CHC
49,734,Aramis Ramirez,2010,784,3161,2873,800,471.0,28.0,366,122,1358,209,193.0,16.0,51.0,0,0,5,0,734,0,0,0,0,0,19,14.0,4.0,ramirar01,734,9.755567999999998,MIL
50,758,Aaron Boone,1990,213,778,702,195,105.0,7.0,85,16,297,47,44.0,3.0,13.0,0,0,0,2,201,7,0,0,0,0,0,24.0,7.0,booneaa01,758,2.780981,CIN
51,758,Aaron Boone,2000,939,3551,3169,822,450.0,29.0,434,110,1348,256,239.0,17.0,67.0,0,0,104,21,750,23,0,0,0,0,2,83.0,23.0,booneaa01,758,12.5057214,CIN
52,759,Russell Branyan,2000,870,2778,2389,560,390.0,24.0,343,163,1180,336,309.0,27.0,26.0,0,0,166,0,320,0,150,0,71,221,37,13.0,4.0,branyru01,759,9.150748,CLE
53,844,Greg Norton,1990,266,904,792,196,90.0,4.0,109,27,330,101,97.0,4.0,4.0,0,0,105,1,144,6,0,0,0,0,4,7.0,8.0,nortogr01,844,1.4011951000000002,CHW
54,844,Greg Norton,2000,841,1860,1618,404,248.0,10.0,206,62,679,222,210.0,12.0,7.0,0,0,103,0,145,0,61,0,43,104,105,8.0,10.0,nortogr01,844,1.28586857,COL
55,858,Juan Uribe,2010,718,2535,2325,583,302.0,17.0,242,72,923,169,152.0,17.0,20.0,0,0,4,50,516,108,0,0,0,0,4,10.0,4.0,uribeju01,858,11.722715999999998,LAD
56,862,Todd Zeile,1990,1445,6004,5263,1409,797.0,61.0,715,182,2271,645,610.0,35.0,29.0,0,105,76,0,1249,0,3,0,0,3,1,47.0,46.0,zeileto01,862,19.300856,STL
57,876,Chone Figgins,2000,936,4075,3585,1045,341.0,30.0,596,31,1392,412,407.0,5.0,6.0,0,0,0,113,540,27,36,244,27,307,19,280.0,96.0,figgich01,876,20.1964597,LAA
58,879,Troy Glaus,1990,202,813,716,168,102.0,5.0,104,30,296,86,85.0,1.0,6.0,0,0,0,0,201,0,0,0,0,0,1,6.0,1.0,glaustr01,879,1.7168,ANA
59,879,Troy Glaus,2000,1207,5059,4282,1108,777.0,36.0,733,274,2187,705,668.0,37.0,36.0,0,0,6,0,1135,18,0,0,0,0,54,50.0,28.0,glaustr01,879,38.4785576,ANA
60,923,Eric Chavez,1990,131,450,401,102,56.0,0.0,53,13,172,49,44.0,5.0,0.0,0,0,0,0,118,2,0,0,0,0,2,2.0,2.0,chaveer01,923,0.3901814,OAK
61,923,Eric Chavez,2000,1156,4832,4271,1148,721.0,40.0,667,216,2079,508,446.0,62.0,13.0,0,0,1,0,1115,3,2,0,0,2,27,45.0,15.0,chaveer01,923,31.17499,OAK
62,923,Eric Chavez,2010,328,946,846,227,125.0,15.0,96,31,372,82,72.0,10.0,2.0,0,0,20,0,169,0,0,0,0,0,65,3.0,0.0,chaveer01,923,3.04788,ARI
63,964,Miguel Tejada,2010,300,1191,1114,293,117.0,8.0,114,22,406,48,39.0,9.0,15.0,0,0,1,30,163,100,0,0,0,0,5,7.0,4.0,tejadmi01,964,3.3079152,BAL
64,992,Eric Hinske,2000,996,3521,3096,785,424.0,26.0,476,113,1355,373,352.0,21.0,26.0,0,0,176,0,456,0,72,0,136,208,93,61.0,20.0,hinsker01,992,6.591064200000001,TOR
65,998,Felipe Lopez,2010,161,594,532,120,48.0,3.0,64,10,174,52,50.0,2.0,1.0,1,0,8,38,84,25,1,0,0,1,2,9.0,3.0,lopezfe01,998,-0.1672626,BOS
66,1051,Russ Johnson,2000,252,701,607,156,65.0,2.0,84,7,215,78,77.0,1.0,4.0,0,0,7,56,124,24,0,0,3,3,7,12.0,6.0,johnsru01,1051,1.8790810000000002,TBD
67,1062,Jared Sandberg,2000,196,706,630,139,92.0,2.0,83,25,256,65,61.0,4.0,4.0,0,0,5,0,185,1,0,0,0,0,2,4.0,2.0,sandbja01,1062,1.869592,TBD
68,1094,Travis Fryman,1990,1327,5750,5176,1418,823.0,65.0,726,187,2323,459,444.0,15.0,35.0,0,0,0,0,996,338,0,0,0,0,4,70.0,35.0,frymatr01,1094,25.579645000000003,DET
69,1094,Travis Fryman,2000,371,1467,1305,358,199.0,13.0,169,36,547,143,139.0,4.0,6.0,0,0,1,0,363,1,0,0,0,0,2,2.0,3.0,frymatr01,1094,2.214769,CLE
70,1127,Jim Thome,1990,916,3782,3077,883,579.0,29.0,609,196,1684,646,596.0,50.0,29.0,0,0,373,0,492,0,0,0,0,0,42,16.0,11.0,thomeji01,1127,23.9836354,CLE
71,1129,Omar Vizquel,2010,226,736,664,173,45.0,8.0,67,2,208,50,50.0,0.0,2.0,0,0,3,59,130,28,1,0,0,1,3,15.0,11.0,vizquom01,1129,-0.01996429999999999,CHW
72,1147,Jeff Cirillo,1990,789,3218,2811,864,372.0,22.0,444,66,1274,330,323.0,7.0,36.0,0,0,11,27,753,2,0,0,0,0,5,32.0,23.0,cirilje01,1147,20.489005,MIL
73,1147,Jeff Cirillo,2000,828,2918,2585,734,355.0,37.0,356,46,1045,233,222.0,11.0,31.0,1,0,46,21,650,3,1,0,0,1,24,31.0,14.0,cirilje01,1147,7.844660899999999,COL
74,1192,Tony Batista,2000,919,3601,3330,813,534.0,34.0,442,162,1483,198,175.0,23.0,35.0,0,0,27,0,770,20,0,0,0,0,47,33.0,20.0,batisto01,1192,11.907287400000001,BAL
75,1215,Jerry Hairston,2010,413,1345,1209,304,129.0,11.0,132,21,429,101,96.0,5.0,15.0,0,0,14,108,112,66,68,20,12,100,1,13.0,10.0,hairsje02,1215,3.27918,LAD
76,1231,Melvin Mora,2000,1335,5630,4948,1379,692.0,45.0,744,164,2164,483,468.0,15.0,109.0,0,0,1,25,811,193,142,147,21,310,14,89.0,52.0,morame01,1231,31.64575,BAL
77,1231,Melvin Mora,2010,155,489,443,119,61.0,4.0,44,7,168,33,30.0,3.0,7.0,0,0,26,19,94,0,4,0,0,4,0,2.0,2.0,morame01,1231,0.5294169999999999,ARI
78,1251,Hank Blalock,2000,910,3859,3504,943,535.0,27.0,499,152,1628,307,285.0,22.0,19.0,0,0,100,4,697,0,0,0,0,0,99,13.0,6.0,blaloha01,1251,9.910663,TEX
