,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
701,30592,Walt Weiss,1980,247,803,714,180,61.0,7.0,77,6,236,58,57.0,1.0,10.0,0,0,0,0,0,242,0,0,0,0,0,11.0,7.0,weisswa01,30592,2.9105539999999994,OAK
702,30592,Walt Weiss,1990,1168,4485,3780,977,307.0,32.0,517,19,1230,574,538.0,36.0,27.0,0,0,0,0,0,1151,0,0,0,0,0,84.0,27.0,weisswa01,30592,13.90829,COL
703,30678,Bobby Wheelock,1890,188,793,688,159,55.0,0.0,106,1,187,103,0.0,0.0,2.0,0,0,0,0,0,188,0,0,0,0,0,86.0,0.0,wheelbo01,30678,4.1,COL
704,30694,Bill White,1880,467,1966,1834,441,205.0,0.0,272,6,572,125,0.0,0.0,7.0,1,0,0,2,22,440,0,0,4,4,0,76.0,0.0,whitebi02,30694,2.5999999999999996,LOU
705,30728,Milt Whitehead,1880,104,423,415,86,0.0,0.0,63,1,106,8,0.0,0.0,0.0,1,1,0,4,2,95,0,2,0,2,0,0.0,0.0,whitemi01,30728,-0.8,KCC
706,30768,Whitey Wietelmann,1940,557,1877,1693,395,117.0,0.0,168,7,482,154,0.0,0.0,8.0,4,0,1,154,28,352,0,0,0,0,0,13.0,0.0,wietewh01,30768,0.9999999999999999,BSN
707,30849,Otto Williams,1900,170,605,558,113,34.0,0.0,48,0,132,29,0.0,0.0,2.0,0,0,16,20,8,98,0,8,13,21,0,24.0,0.0,williot01,30849,-1.4,CHC
708,30886,Maury Wills,1960,1507,6662,6091,1744,369.0,22.0,874,17,2055,439,422.0,17.0,16.0,0,0,0,1,328,1172,0,0,0,0,0,535.0,183.0,willsma01,30886,34.57541,LAD
709,30886,Maury Wills,1970,352,1384,1255,327,82.0,7.0,166,3,386,100,96.0,4.0,0.0,0,0,0,0,34,301,0,0,0,0,0,44.0,22.0,willsma01,30886,3.282588,LAD
710,30953,Bobby Wine,1960,852,2516,2313,494,201.0,10.0,182,26,671,150,107.0,43.0,2.0,0,0,7,0,46,785,2,0,0,2,0,7.0,6.0,winebo01,30953,5.64648947,PHI
711,30953,Bobby Wine,1970,312,951,859,188,67.0,5.0,67,4,237,64,54.0,10.0,1.0,0,0,0,1,21,282,0,0,0,0,0,0.0,1.0,winebo01,30953,0.08357899999999996,MON
712,30986,Sam Wise,1880,831,3550,3301,875,445.0,0.0,567,37,1295,232,0.0,0.0,17.0,0,0,62,139,26,559,12,0,36,48,0,131.0,0.0,wisesa01,30986,15.5,BSN
713,31003,Whitey Witt,1910,393,1674,1475,375,97.0,0.0,182,2,475,166,0.0,0.0,2.0,0,0,0,56,8,253,47,19,0,66,0,42.0,0.0,wittwh01,31003,3.4000000000000004,PHA
714,31078,Woody Woodward,1960,644,1826,1650,392,116.0,8.0,163,0,474,122,98.0,24.0,11.0,0,0,2,259,9,359,0,0,0,0,0,9.0,13.0,woodwwo01,31078,3.4365178999999997,ATL
715,31078,Woody Woodward,1970,236,598,537,125,32.0,4.0,45,1,153,47,37.0,10.0,2.0,0,0,2,19,83,162,0,0,0,0,0,5.0,2.0,woodwwo01,31078,0.767674,CIN
716,31091,Chuck Wortman,1910,161,494,441,82,28.0,0.0,45,3,105,37,0.0,0.0,0.0,0,0,0,9,1,138,0,0,0,0,0,13.0,0.0,wortmch01,31091,-2.1,CHC
717,31104,George Wright,1870,537,2720,2659,830,317.0,0.0,645,11,1102,61,0.0,0.0,0.0,3,0,1,60,1,476,0,0,0,0,0,47.0,20.0,wrighge01,31104,23.900000000000002,BOS
718,31106,Glenn Wright,1920,700,2914,2690,798,486.0,0.0,395,51,1182,140,0.0,0.0,2.0,0,0,1,0,1,669,0,0,1,1,0,30.0,13.0,wrighgl01,31106,16.2,PIT
719,31106,Glenn Wright,1930,419,1566,1463,421,237.0,0.0,189,43,674,69,0.0,0.0,3.0,0,0,11,7,2,382,0,0,0,0,0,8.0,0.0,wrighgl01,31106,9.0,BRO
720,31124,Zeke Wrigley,1890,239,929,861,222,117.0,0.0,121,5,302,46,0.0,0.0,1.0,0,0,0,23,36,145,4,15,20,39,0,18.0,0.0,wriglze01,31124,-0.8,WHS
