,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
84,1542,Paul Konerko,2010,649,2612,2299,650,367.0,25.0,280,113,1092,260,230.0,30.0,28.0,0,0,440,0,0,0,0,0,0,0,185,1.0,2.0,konerpa01,1542,8.106664,CHW
85,1543,Carlos Lee,2010,459,1917,1740,455,260.0,16.0,186,51,714,154,141.0,13.0,7.0,0,0,244,0,0,0,213,0,0,213,14,10.0,6.0,leeca01,1543,2.567149,HOU
86,1562,Frank Thomas,1990,1371,6091,4892,1564,1040.0,82.0,968,301,2804,1076,943.0,133.0,41.0,0,0,903,0,0,0,0,0,0,0,459,28.0,18.0,thomafr04,1562,50.231996,CHW
87,1580,Ron Coomer,2000,375,1268,1166,307,167.0,13.0,114,31,463,81,75.0,6.0,7.0,0,0,195,0,118,0,0,0,0,0,27,2.0,0.0,coomero01,1580,-0.5395770000000001,CHC
88,1583,Jason Giambi,1990,647,2748,2368,700,418.0,32.0,384,106,1178,320,301.0,19.0,26.0,0,0,410,0,70,0,112,0,1,113,61,5.0,6.0,giambja01,1583,10.956033999999999,OAK
89,1583,Jason Giambi,2000,1305,5387,4257,1171,912.0,50.0,775,303,2314,942,873.0,69.0,138.0,0,0,824,0,0,0,0,0,0,0,436,13.0,5.0,giambja01,1583,37.218527,NYY
90,1590,Nick Johnson,2000,770,3116,2539,693,379.0,13.0,409,89,1135,487,445.0,42.0,68.0,0,0,666,0,0,0,2,0,0,2,90,27.0,23.0,johnsni01,1590,12.4525469,WSN
91,6514,Ross Gload,2000,608,1563,1432,405,192.0,19.0,176,28,584,96,85.0,11.0,10.0,1,0,362,0,0,0,49,1,52,102,15,11.0,9.0,gloadro01,6514,-0.7533090999999998,CHW
92,10225,Dave Mccarty,1990,278,817,749,169,65.0,3.0,85,10,239,55,54.0,1.0,9.0,0,0,141,0,0,0,54,2,67,123,2,8.0,9.0,mccarda01,10225,-1.7489573,MIN
93,10225,Dave Mccarty,2000,354,830,744,193,110.0,9.0,97,26,315,71,69.0,2.0,5.0,3,0,227,0,0,0,49,0,13,62,20,1.0,0.0,mccarda01,10225,1.0700542,BOS
94,16611,Ken Harvey,2000,271,1078,998,273,126.0,4.0,102,27,410,60,54.0,6.0,13.0,0,0,180,0,0,0,4,0,0,4,81,3.0,5.0,harveke01,16611,-0.7227485,KCR
95,16630,Mark Sweeney,2000,809,1387,1196,296,170.0,11.0,144,31,473,166,156.0,10.0,9.0,0,0,159,0,0,0,69,1,46,116,17,9.0,3.0,sweenma01,16630,1.0809311000000001,COL
96,16631,Mark Teixeira,2000,1060,4638,4023,1167,798.0,27.0,669,242,2191,523,454.0,69.0,65.0,0,0,1005,0,15,0,14,0,18,32,31,15.0,3.0,teixema01,16631,27.374187,TEX
97,16631,Mark Teixeira,2010,802,3391,2913,695,500.0,37.0,430,167,1342,395,373.0,22.0,46.0,0,0,764,0,0,0,0,0,0,0,35,11.0,4.0,teixema01,16631,11.159557300000001,NYY
98,16673,Mike Aldrete,1990,505,1228,1049,261,133.0,10.0,144,26,390,163,156.0,7.0,2.0,1,0,196,0,0,0,106,1,44,151,31,5.0,7.0,aldremi01,16673,0.3994257,OAK
99,16804,Rico Brogna,1990,695,2801,2567,701,416.0,24.0,344,101,1180,203,176.0,27.0,4.0,0,0,679,0,0,0,0,0,0,0,1,28.0,15.0,brognri01,16804,0.20384519999999995,NYM
100,16873,Archi Cianfrocco,1990,500,1392,1276,308,185.0,13.0,136,34,483,80,77.0,3.0,16.0,0,1,235,24,185,31,8,0,17,25,0,16.0,3.0,cianfar01,16873,-0.8372105000000001,SDP
101,16880,Will Clark,1980,582,2410,2100,638,352.0,24.0,361,98,1101,257,195.0,62.0,17.0,0,0,557,0,0,0,0,0,0,0,0,26.0,28.0,clarkwi02,16880,15.310054999999998,SFG
102,16880,Will Clark,1990,1264,5366,4646,1402,783.0,73.0,747,165,2228,611,521.0,90.0,35.0,0,0,1210,0,0,0,0,0,0,0,27,36.0,18.0,clarkwi02,16880,22.373227,TEX
103,16880,Will Clark,2000,130,507,427,136,70.0,4.0,78,21,233,69,66.0,3.0,7.0,0,0,122,0,0,0,0,0,0,0,6,5.0,2.0,clarkwi02,16880,3.78616,BAL
104,16942,Glenn Davis,1980,737,3044,2705,713,454.0,32.0,383,144,1292,264,205.0,59.0,39.0,0,0,719,0,0,0,0,0,9,9,0,15.0,7.0,davisgl01,16942,14.07388,HOU
105,16942,Glenn Davis,1990,278,1145,1014,252,149.0,7.0,127,46,446,106,87.0,19.0,16.0,0,0,151,0,0,0,0,0,0,0,122,13.0,4.0,davisgl01,16942,3.943625,BAL
106,17023,Cecil Fielder,1990,1250,5381,4651,1190,924.0,43.0,677,288,2245,647,573.0,74.0,40.0,0,0,840,0,0,0,0,0,0,0,410,2.0,4.0,fieldce01,17023,16.369179000000003,DET
107,17186,Brian R. Hunter,1990,612,1582,1415,334,236.0,25.0,173,59,610,121,111.0,10.0,11.0,0,0,441,0,0,0,68,0,26,94,3,4.0,8.0,huntebr01,17186,1.7696056000000002,ATL
108,17220,Mark Johnson,1990,294,938,797,188,104.0,8.0,118,30,320,124,118.0,6.0,9.0,0,0,238,0,0,0,1,0,0,1,3,12.0,7.0,johnsma01,17220,1.9914399,PIT
109,17228,Kevin Jordan,1990,383,1023,959,262,126.0,9.0,99,17,368,42,39.0,3.0,10.0,0,0,92,77,82,0,0,0,0,0,9,2.0,2.0,jordake01,17228,-0.5392543000000001,PHI
110,17230,Wally Joyner,1980,620,2644,2347,676,381.0,36.0,341,85,1068,230,189.0,41.0,18.0,0,0,616,0,0,0,0,0,0,0,0,24.0,8.0,joynewa01,17230,10.99404,CAL
111,17230,Wally Joyner,1990,1241,5050,4408,1285,679.0,51.0,594,111,1923,559,494.0,65.0,19.0,0,0,1203,0,0,0,0,0,0,0,18,35.0,30.0,joynewa01,17230,18.735231,KCR
112,17319,Dave Magadan,1980,334,1046,898,263,103.0,8.0,110,8,345,134,122.0,12.0,3.0,0,0,180,0,126,0,0,0,0,0,0,1.0,1.0,magadda01,17319,4.236151499999999,NYM
113,17360,Ryan McGuire,1990,302,636,549,121,45.0,2.0,56,6,178,78,77.0,1.0,0.0,0,0,166,0,0,0,70,10,37,117,3,2.0,5.0,mcguiry01,17360,-1.350162,MON
114,17361,Mark McGwire,1980,467,1921,1650,427,321.0,23.0,268,117,856,234,217.0,17.0,13.0,0,0,440,0,24,0,0,0,4,4,2,2.0,3.0,mcgwima01,17361,9.464628,OAK
115,17361,Mark McGwire,1990,1221,5054,4002,1071,956.0,47.0,791,405,2460,951,833.0,118.0,52.0,0,0,1163,0,0,0,0,0,0,0,35,9.0,5.0,mcgwima01,17361,44.443336,OAK
116,17361,Mark McGwire,2000,186,685,535,128,137.0,8.0,108,61,323,132,117.0,15.0,10.0,0,0,160,0,0,0,0,0,0,0,0,1.0,0.0,mcgwima01,17361,4.858816,STL
117,17419,Hal Morris,1990,1117,4200,3791,1162,495.0,38.0,508,73,1658,324,273.0,51.0,21.0,0,0,926,0,0,0,50,0,0,50,40,45.0,24.0,morriha02,17419,7.523249000000001,CIN
118,17504,J.R. Phillips,1990,242,545,501,94,67.0,2.0,52,23,184,38,34.0,4.0,2.0,0,0,134,0,0,0,8,0,24,32,0,2.0,1.0,phillj.01,17504,-0.06968220000000003,SFG
119,17664,Paul Sorrento,1990,1079,3863,3391,871,564.0,26.0,452,166,1555,421,368.0,53.0,21.0,0,0,801,0,0,0,61,0,17,78,152,8.0,15.0,sorrepa01,17664,4.091405999999999,CLE
120,17675,Scott Stahoviak,1990,344,1153,1019,261,119.0,8.0,135,27,418,116,107.0,9.0,9.0,0,0,268,0,41,0,0,0,1,1,15,13.0,8.0,stahosc01,17675,1.5237792,MIN
121,17684,Steve Balboni,1980,842,3128,2849,660,461.0,25.0,327,164,1295,238,219.0,19.0,16.0,0,0,602,0,0,0,0,0,0,0,207,1.0,2.0,balbost01,17684,2.29573611,KCR
122,17739,Todd Benzinger,1980,354,1375,1256,319,189.0,13.0,162,38,510,88,68.0,20.0,5.0,0,0,245,0,0,0,19,5,90,114,1,10.0,14.0,benzito01,17739,-0.2411890000000001,BOS
123,17739,Todd Benzinger,1990,570,1731,1600,414,187.0,21.0,154,28,592,93,78.0,15.0,9.0,0,0,377,0,1,0,50,0,33,83,1,11.0,15.0,benzito01,17739,-3.803286500000001,SFG
124,17761,John Kruk,1990,708,2877,2437,746,375.0,29.0,370,59,1108,407,353.0,54.0,2.0,0,0,498,0,0,0,110,11,56,177,42,30.0,14.0,krukjo01,17761,10.667693999999996,PHI
125,17767,Eddie Murray,1970,480,2043,1827,526,282.0,20.0,256,79,868,190,168.0,22.0,4.0,0,0,356,0,3,0,3,0,0,3,114,16.0,8.0,murraed02,17767,9.816019999999998,BAL
126,17767,Eddie Murray,1980,1500,6437,5612,1642,996.0,58.0,858,274,2791,754,621.0,133.0,13.0,0,0,1405,0,2,0,0,0,0,0,86,52.0,18.0,murraed02,17767,38.448190000000004,BAL
127,17767,Eddie Murray,1990,1046,4337,3897,1087,639.0,50.0,513,151,1738,389,322.0,67.0,1.0,0,0,652,0,1,0,0,0,0,0,371,42.0,17.0,murraed02,17767,9.215386,CLE
128,17864,Don Mattingly,1980,1015,4422,4022,1300,717.0,63.0,615,164,2094,314,232.0,82.0,10.0,0,0,923,1,3,0,32,2,47,81,19,8.0,7.0,mattido01,17864,28.0993821,NYY
129,17864,Don Mattingly,1990,770,3299,2981,853,382.0,33.0,392,58,1207,274,220.0,54.0,11.0,0,0,711,0,0,0,1,0,0,1,56,6.0,2.0,mattido01,17864,8.175291999999999,NYY
130,17894,Orestes Destrade,1990,192,789,699,172,102.0,7.0,73,25,277,77,68.0,9.0,5.0,0,0,189,0,0,0,0,0,0,0,0,1.0,2.0,destror01,17894,0.21898700000000004,FLA
131,17903,Kent Hrbek,1980,1156,4767,4178,1212,724.0,44.0,624,201,2071,523,446.0,77.0,17.0,0,0,1070,0,0,0,0,0,0,0,72,19.0,16.0,hrbekke01,17903,23.220174999999994,MIN
132,17903,Kent Hrbek,1990,591,2370,2014,537,362.0,22.0,279,92,905,315,282.0,33.0,9.0,0,0,539,0,1,0,0,0,0,0,34,18.0,10.0,hrbekke01,17903,6.377364999999998,MIN
133,17905,Ricky Jordan,1980,213,840,796,233,118.0,9.0,104,23,347,30,23.0,7.0,5.0,0,0,209,0,0,0,0,0,0,0,0,5.0,4.0,jordari02,17905,3.270822,PHI
134,17905,Ricky Jordan,1990,464,1381,1308,359,186.0,16.0,157,32,546,47,37.0,10.0,10.0,0,0,301,0,0,0,11,0,0,11,2,5.0,2.0,jordari02,17905,-0.06926319999999997,PHI
135,17938,Pedro Guerrero,1990,294,1185,1071,288,166.0,20.0,93,22,409,92,73.0,19.0,2.0,0,0,272,0,0,0,10,0,0,10,0,7.0,5.0,guerrpe01,17938,-2.100873,STL
136,17977,Leon Durham,1980,1067,4067,3587,992,530.0,24.0,522,147,1705,444,348.0,96.0,9.0,0,0,618,0,0,0,86,116,219,421,0,106.0,61.0,durhale01,17977,12.1760877,CHC
137,17987,Carmelo Martinez,1990,191,568,492,113,71.0,3.0,56,20,193,73,69.0,4.0,0.0,0,0,124,0,0,0,38,0,1,39,1,2.0,2.0,martica01,17987,1.0564,PIT
138,18003,Sid Bream,1980,562,1977,1744,457,240.0,23.0,210,45,720,194,165.0,29.0,2.0,0,0,507,0,0,0,2,0,0,2,0,32.0,30.0,breamsi01,18003,5.1668195,PIT
139,18003,Sid Bream,1990,526,1553,1364,362,215.0,15.0,141,45,584,159,143.0,16.0,3.0,0,0,447,0,0,0,0,0,0,0,0,18.0,10.0,breamsi01,18003,1.999318,ATL
140,18041,Carlos Quintana,1990,399,1465,1293,362,157.0,7.0,156,19,475,144,140.0,4.0,6.0,0,0,339,0,0,0,2,0,65,67,1,3.0,2.0,quintca01,18041,3.115157,BOS
141,18158,Gerald Perry,1980,643,2294,2040,551,246.0,27.0,247,37,768,213,191.0,22.0,7.0,0,0,476,0,0,0,83,0,1,84,0,105.0,55.0,perryge01,18158,0.5747043999999999,ATL
142,18158,Gerald Perry,1990,550,1233,1104,281,150.0,10.0,136,22,413,115,103.0,12.0,4.0,0,0,180,0,0,0,4,0,2,6,68,37.0,20.0,perryge01,18158,1.044119,STL
