,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
1496,59179,Justin Wilson,2010,12528,30,21,18,409.6668,155,148,1722,1295.0,337,31,435.0,185,174,11,12.0,451,59179,wilsoju10,4.6288888,PIT
1497,59266,Mike Minor,2010,12534,70,60,6,1095.6661,496,475,4541,4133.0,1024,142,1712.0,315,294,21,30.0,986,59266,minormi01,14.43569,ATL
1498,59607,Rex Brothers,2010,12555,20,14,20,266.0,123,112,1174,965.0,244,24,360.0,154,140,14,4.0,311,59607,brothre01,-0.2709759999999999,COL
1499,59626,Patrick Corbin,2010,12557,70,61,2,1147.667,528,484,4833,4066.0,1113,131,1655.0,341,323,18,31.0,1135,59626,corbipa01,18.463438,ARI
1500,60011,Kyle Lobstein,2010,12574,6,10,0,128.0,74,72,554,243.0,138,12,92.0,49,45,4,2.0,74,60011,lobstky01,-1.5881299999999998,DET
1501,60031,Chris Rusin,2010,12579,20,28,2,465.3337,263,239,2009,1272.0,508,54,527.0,150,137,13,17.0,338,60031,rusinch01,-0.14761629999999992,COL
1502,60448,Dallas Keuchel,2010,12600,84,71,0,1302.0013,571,531,5424,4104.0,1259,131,1650.0,382,374,8,30.0,1036,60448,keuchda01,20.36574,HOU
1503,60488,Vidal Nuno,2010,12601,8,21,0,377.0004,179,170,1595,1112.0,377,65,505.0,105,95,10,16.0,312,60488,nunovi01,0.6135569999999998,ARI
1504,60611,Ian Krol,2010,12606,8,6,1,190.0,107,95,839,638.0,206,27,285.0,73,64,9,11.0,178,60611,krolia01,-0.2794604500000001,ATL
1505,60619,Aaron Loup,2010,12607,12,20,6,326.0,140,125,1392,1059.0,313,25,391.0,100,86,14,33.0,304,60619,loupaa01,1.4716082999999998,TOR
1506,60728,Robbie Ross,2010,12619,16,12,6,330.6666,163,144,1439,1046.0,339,25,389.0,120,110,10,28.0,274,60728,rossro01,0.5008834999999999,BOS
1507,60740,Robbie Erlin,2010,12620,13,20,0,313.0,169,159,1304,1155.0,336,34,492.0,62,61,1,3.0,249,60740,erlinro01,4.489038999999999,SDP
1508,60787,Hyun-jin Ryu,2010,12624,54,33,1,740.3340000000002,267,245,3026,2815.0,698,72,1075.0,164,151,13,13.0,665,60787,ryuhy01,18.324171,LAD
