,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP,TEAM
0,9,Pedro Borbon,1990,0,9,6,4,121.6667,52,50,521,449.0,99,8,155.0,57,51,6,3.0,100,9,borbope02,1.5543599,ATL
1,9,Pedro Borbon,2000,1,7,10,2,149.33339999999995,102,91,690,578.0,160,25,285.0,77,59,18,13.0,124,9,borbope02,-0.6745393,TOR
2,18,Carlos Hernandez,2000,10,9,8,0,170.6667,89,86,765,656.0,173,23,287.0,91,86,5,8.0,136,18,hernaca03,0.527429,HOU
3,41,Jeriome Robertson,2000,27,16,12,0,184.3337,128,117,832,724.0,215,32,363.0,78,65,13,8.0,111,41,roberje02,-1.0052655,HOU
4,49,Billy Wagner,1990,30,17,14,101,253.0,72,66,1023,888.0,158,22,246.0,108,103,5,7.0,394,49,wagnebi02,9.14423055,HOU
5,49,Billy Wagner,2000,31,23,24,284,580.6667,176,155,2309,2093.0,405,55,646.0,170,152,18,23.0,698,49,wagnebi02,18.23866,HOU
6,49,Billy Wagner,2010,32,7,2,37,69.3333,14,11,268,239.0,38,5,61.0,22,19,3,3.0,104,49,wagnebi02,2.23999,ATL
7,59,Jung Keun Bong,2000,33,7,4,1,78.3333,50,45,349,298.0,81,11,138.0,43,37,6,2.0,62,59,bongju01,0.913291,ATL
8,69,John Foster,2000,36,7,2,1,60.6667,34,33,277,236.0,63,11,108.0,33,31,2,4.0,54,69,fostejo01,0.2866380000000001,ATL
9,75,Tom Glavine,1980,38,23,29,0,431.6663,233,206,1848,1651.0,428,37,623.0,136,122,14,13.0,194,75,glavito02,0.9557559999999999,ATL
10,75,Tom Glavine,1990,39,164,87,0,2227.999,877,794,9325,8381.0,2101,141,2964.0,764,692,72,23.0,1465,75,glavito02,41.09135,ATL
11,75,Tom Glavine,2000,40,118,87,0,1753.6653,790,734,7431,6664.0,1769,178,2717.0,600,541,59,30.0,948,75,glavito02,17.356365,NYM
12,78,Chris Hammond,1990,42,46,55,1,843.6663,465,426,3657,3260.0,902,81,1354.0,313,291,22,23.0,513,78,hammoch01,8.751196,FLA
13,78,Chris Hammond,2000,43,20,7,2,280.0001,107,91,1164,1057.0,261,24,401.0,74,64,10,8.0,199,78,hammoch01,4.822042,ATL
14,102,Damian Moss,2000,59,22,19,0,361.667,200,181,1589,1349.0,340,47,568.0,195,185,10,18.0,204,102,mossda01,-2.139965,ATL
15,105,Mike Remlinger,1990,60,29,32,3,495.6664,251,234,2164,1841.0,454,62,752.0,261,242,19,17.0,448,105,remlimi01,7.873575629999999,CIN
16,105,Mike Remlinger,2000,61,24,23,17,383.3334,161,147,1642,1436.0,330,41,520.0,169,150,19,13.0,406,105,remlimi01,8.813018000000003,ATL
17,123,Valerio De Los Santos,2000,73,9,12,1,226.0001,124,117,989,835.0,202,32,349.0,118,103,15,10.0,184,123,delosva01,0.717433413,MIL
18,141,Ray King,2000,83,20,23,2,400.3334,170,151,1697,1480.0,365,32,552.0,171,154,17,16.0,273,141,kingra01,2.2944336,MIL
19,154,Glendon Rusch,1990,88,12,25,1,330.0,222,212,1470,1335.0,405,51,639.0,105,105,0,12.0,214,154,ruschgl01,0.019159099999999984,KCR
20,154,Glendon Rusch,2000,89,55,74,3,1147.3337,658,615,5043,4548.0,1327,140,2045.0,355,328,27,28.0,874,154,ruschgl01,19.4120419,CHC
21,178,Jeff Fassero,1990,99,92,83,10,1465.3339999999998,711,620,6291,5636.0,1439,146,2216.0,507,479,28,26.0,1229,178,fasseje01,32.247518,MON
22,178,Jeff Fassero,2000,100,29,41,15,568.3334,331,309,2519,2243.0,644,68,980.0,217,195,22,11.0,414,178,fasseje01,6.0423521,CHC
23,179,Chuck Finley,1980,101,30,32,0,531.0,230,211,2261,1984.0,504,37,722.0,230,219,11,12.0,367,179,finlech01,3.252298,CAL
24,179,Chuck Finley,1990,102,135,108,0,2143.998,1004,896,9137,8063.0,2040,217,3115.0,888,872,16,59.0,1784,179,finlech01,34.742149999999995,CAL
25,179,Chuck Finley,2000,103,35,33,0,522.3330000000001,283,259,2240,1991.0,525,50,801.0,214,205,9,5.0,459,179,finlech01,11.9049,CLE
26,190,Steve Kline,1990,109,14,14,1,194.0,94,86,864,745.0,191,22,299.0,97,80,17,8.0,182,190,klinest02,3.761111,MON
27,190,Steve Kline,2000,110,20,25,38,488.3333,199,180,2076,1821.0,458,38,676.0,198,167,31,18.0,311,190,klinest02,1.9912838,STL
28,268,Jesus Sanchez,1990,152,12,16,0,249.3333,151,137,1127,943.0,262,34,427.0,151,138,13,8.0,199,268,sanchje01,-0.4852289999999999,FLA
29,268,Jesus Sanchez,2000,153,11,18,0,275.3333,183,173,1236,1073.0,302,48,539.0,130,121,9,7.0,185,268,sanchje01,-0.25666200000000017,FLA
30,279,Brian Anderson,1990,160,40,31,1,650.0003,369,348,2727,2534.0,719,111,1209.0,136,128,8,13.0,309,279,anderbr02,1.6109933,CAL
31,279,Brian Anderson,2000,161,42,52,0,896.9997,537,466,3805,3529.0,1024,153,1740.0,201,181,20,10.0,414,279,anderbr02,-0.4729880000000004,ARI
32,304,Randy Johnson,1980,172,10,13,0,186.667,108,93,824,695.0,170,16,257.0,103,101,2,3.0,155,304,johnsra05,1.748798,MON
33,304,Randy Johnson,1990,173,150,75,2,2063.3323,805,721,8557,7466.0,1560,183,2456.0,910,897,13,98.0,2538,304,johnsra05,66.23173,SEA
34,304,Randy Johnson,2000,174,143,78,0,1885.3347,790,699,7686,6998.0,1616,212,2642.0,484,462,22,89.0,2182,304,johnsra05,63.707980000000006,ARI
35,317,Eddie Oropesa,2000,182,8,4,0,92.0,79,75,444,361.0,99,11,150.0,72,61,11,4.0,78,317,oropeed01,-0.2853751,ARI
36,326,Greg Swindell,1980,191,39,30,0,590.3326999999998,265,242,2433,2249.0,573,61,868.0,148,143,5,3.0,452,326,swindgr01,10.405421,CLE
37,326,Greg Swindell,1990,192,80,78,4,1480.3337,709,638,6193,5743.0,1580,173,2487.0,320,299,21,17.0,961,326,swindgr01,21.501454449,HOU
38,347,Omar Daal,1990,203,36,32,1,591.0006,281,264,2505,2217.0,567,57,864.0,229,210,19,14.0,445,347,daalom01,13.251083,LAD
39,347,Omar Daal,2000,204,32,46,0,607.6667,370,342,2678,2396.0,683,83,1110.0,212,194,18,20.0,361,347,daalom01,3.534291,PHI
40,363,Kaz Ishii,2000,209,39,34,0,564.0,310,278,2496,2080.0,508,70,844.0,354,342,12,17.0,435,363,ishiika01,-0.12701000000000007,LAD
41,374,Jesse Orosco,1980,216,52,51,119,691.6663,225,196,2852,2507.0,542,47,779.0,274,231,43,14.0,606,374,oroscje01,14.921157999999998,NYM
42,374,Jesse Orosco,1990,217,31,22,22,489.3335,216,194,2084,1787.0,395,50,623.0,242,206,36,13.0,475,374,oroscje01,7.136697,BAL
43,375,Odalis Perez,2000,220,69,75,0,1231.3323,634,594,5209,4753.0,1299,149,2069.0,331,305,26,26.0,833,375,perezod01,22.105054,LAD
44,398,Scott Downs,2000,235,22,23,16,509.3334,249,222,2206,1968.0,519,55,809.0,194,172,22,22.0,398,398,downssc01,7.55628,TOR
45,398,Scott Downs,2010,236,16,17,11,242.0,84,75,1007,902.0,210,12,298.0,85,73,12,6.0,177,398,downssc01,1.4499028999999999,LAA
46,400,Joey Eischen,2000,239,10,7,3,205.6667,97,77,900,772.0,197,17,287.0,93,72,21,14.0,175,400,eischjo01,3.635297,MON
47,423,Scott Stewart,2000,249,11,6,20,180.6667,93,80,779,698.0,187,19,290.0,60,46,14,5.0,161,423,stewasc01,2.7163058,MON
48,442,Scott Eyre,1990,257,8,13,0,192.6667,136,119,887,764.0,214,41,381.0,110,107,3,4.0,126,442,eyresc01,-2.429128,CHW
49,442,Scott Eyre,2000,258,20,17,4,456.6665,201,186,1994,1719.0,440,42,675.0,222,198,24,11.0,411,442,eyresc01,5.115302099999999,SFG
50,445,Aaron Fultz,2000,259,25,15,3,479.6665,243,227,2057,1800.0,467,50,745.0,187,160,27,18.0,394,445,fultzaa01,5.162678,SFG
51,467,Kirk Rueter,1990,274,70,39,0,890.3343000000001,461,416,3764,3448.0,944,103,1454.0,240,225,15,15.0,466,467,rueteki01,9.391927,MON
52,467,Kirk Rueter,2000,275,60,53,0,1027.6660000000002,543,495,4446,4002.0,1148,117,1784.0,342,316,26,10.0,352,467,rueteki01,-3.582629000000001,SFG
53,482,Chad Zerbe,2000,282,6,1,0,151.0,72,65,644,571.0,159,10,236.0,46,42,4,6.0,70,482,zerbech01,1.117713,SFG
54,484,Armando Almanza,2000,284,14,12,2,199.0,119,112,887,736.0,181,33,329.0,127,115,12,5.0,212,484,almanar01,-0.060884700000000125,FLA
55,498,Vic Darensbourg,2000,291,8,9,1,197.3333,111,104,883,778.0,226,26,364.0,75,62,13,5.0,139,498,darenvi01,-0.6408842999999999,FLA
56,509,Graeme Lloyd,1990,293,16,22,11,358.0001,168,144,1514,1363.0,351,37,527.0,107,79,28,14.0,198,509,lloydgr01,1.46649644,MIL
57,509,Graeme Lloyd,2000,294,14,14,6,174.9999,106,95,779,700.0,209,14,303.0,54,46,8,9.0,106,509,lloydgr01,-0.3763519,MON
58,526,Nate Robertson,2000,307,51,69,1,1051.0017,620,575,4604,4137.0,1164,148,1870.0,378,358,20,28.0,712,526,roberna01,7.9024756,DET
59,526,Nate Robertson,2010,308,6,8,0,101.333,76,67,460,397.0,115,12,185.0,42,41,1,6.0,63,526,roberna01,-0.599983,FLA
60,531,Michael Tejera,2000,312,11,13,3,232.0003,132,128,1029,895.0,246,25,384.0,106,100,6,10.0,165,531,tejermi01,1.1611182,FLA
61,541,Mike Bacsik,2000,317,10,13,0,216.0001,141,131,960,872.0,261,41,446.0,60,53,7,13.0,97,541,bacsimi02,-1.1443656,NYM
62,559,Mark Guthrie,1990,322,33,36,12,707.0002000000002,360,322,3040,2701.0,729,70,1102.0,262,227,35,11.0,557,559,guthrma01,9.3454136,MIN
63,559,Mark Guthrie,2000,323,16,14,2,214.3334,97,89,917,788.0,194,24,297.0,98,81,17,10.0,183,559,guthrma01,2.869725,CHC
64,566,Al Leiter,1980,325,7,8,0,113.33339999999998,66,62,509,427.0,105,11,158.0,71,71,0,7.0,114,566,leiteal01,0.52663,NYY
65,566,Al Leiter,1990,326,83,63,2,1181.333,520,487,5093,4344.0,1031,83,1539.0,612,589,23,55.0,993,566,leiteal01,15.1831869,TOR
66,566,Al Leiter,2000,327,72,61,0,1096.333,515,461,4732,4111.0,1016,104,1577.0,480,450,30,55.0,867,566,leiteal01,14.485552599999998,NYM
67,626,Bobby M. Jones,1990,359,14,19,0,272.9993,196,179,1272,1073.0,315,38,511.0,155,155,0,12.0,188,626,jonesbo04,-4.672699999999999,COL
68,639,Oliver Perez,2000,364,58,64,0,1065.3339999999998,587,537,4707,3980.0,965,158,1658.0,586,572,14,52.0,1089,639,perezol01,13.085375,NYM
69,639,Oliver Perez,2010,365,14,27,4,374.6667,181,164,1643,1263.0,345,39,491.0,168,146,22,32.0,438,639,perezol01,2.057259,ARI
70,659,Rheal Cormier,1990,378,40,39,0,778.0,401,358,3287,3031.0,832,77,1257.0,166,153,13,31.0,464,659,cormirh01,13.679575899999998,STL
71,659,Rheal Cormier,2000,379,31,25,2,443.6666,203,189,1870,1668.0,416,44,660.0,151,127,24,20.0,296,659,cormirh01,3.5956430799999994,PHI
72,683,Dan Plesac,1980,394,19,19,100,283.9999,94,83,1155,1051.0,237,21,344.0,81,76,5,3.0,268,683,plesada01,6.13125,MIL
73,683,Dan Plesac,1990,395,32,42,54,633.0,316,291,2717,2405.0,616,67,961.0,242,204,38,12.0,582,683,plesada01,9.223863,MIL
74,683,Dan Plesac,2000,396,14,10,4,154.9999,68,59,667,575.0,124,17,199.0,79,68,11,2.0,191,683,plesada01,3.676968,PHI
75,692,Bud Smith,2000,403,7,8,0,132.6667,79,73,580,514.0,146,16,228.0,46,39,7,4.0,81,692,smithbu02,1.321173,STL
76,698,Randy Wolf,1990,408,6,9,0,121.667,78,75,552,474.0,126,20,221.0,67,67,0,5.0,116,698,wolfra02,1.80565,PHI
77,698,Randy Wolf,2000,409,95,76,0,1560.6677,745,697,6613,5889.0,1482,192,2448.0,538,508,30,68.0,1271,698,wolfra02,27.273668,PHI
78,698,Randy Wolf,2010,410,32,40,1,645.9993999999998,350,325,2812,2362.0,702,84,1064.0,226,217,9,30.0,427,698,wolfra02,-2.453813,MIL
79,701,Jimmy Anderson,2000,412,23,46,1,545.3334,356,333,2460,2171.0,647,56,965.0,224,202,22,25.0,228,701,anderji02,-5.7699061999999985,PIT
80,703,Joe Beimel,2000,415,22,29,4,517.3330000000001,259,243,2272,1984.0,551,43,827.0,218,177,41,19.0,294,703,beimejo01,-2.5890159,LAD
81,703,Joe Beimel,2010,416,7,5,1,162.66660000000005,72,64,685,442.0,168,23,190.0,54,43,11,3.0,85,703,beimejo01,-1.530671,SEA
82,741,Scott Sauerbeck,2000,438,16,16,3,318.6668,164,149,1423,1183.0,291,25,434.0,205,179,26,20.0,334,741,sauersc01,4.985272,PIT
83,745,Ron Villone,1990,441,13,11,5,310.3337,157,149,1371,1143.0,273,32,423.0,190,186,4,14.0,253,745,villoro01,1.9277374000000005,MIL
84,745,Ron Villone,2000,442,48,54,3,857.6673000000002,508,465,3822,3249.0,842,104,1368.0,447,412,35,54.0,672,745,villoro01,0.2814520000000004,HOU
85,749,Dave Williams,2000,450,22,31,0,408.0003,237,219,1778,1549.0,411,64,720.0,165,150,15,28.0,245,749,willida07,-0.5299916000000002,PIT
86,762,Bruce Chen,2000,453,32,41,0,797.9997,460,415,3469,3092.0,821,152,1471.0,303,282,21,20.0,625,762,chenbr01,2.269874,BAL
87,762,Bruce Chen,2010,454,46,38,1,662.6666,348,331,2845,2541.0,696,91,1106.0,207,192,15,22.0,453,762,chenbr01,-4.2291786999999985,KCR
88,771,Shawn Estes,1990,462,40,36,0,640.6663,334,307,2805,2392.0,600,52,872.0,336,323,13,21.0,550,771,estessh01,14.584822,SFG
89,771,Shawn Estes,2000,463,61,57,0,1037.6667,616,572,4598,3945.0,1108,106,1689.0,522,499,23,36.0,660,771,estessh01,0.3438590000000001,SDP
90,807,Gabe White,1990,483,10,12,11,250.0001,134,130,1054,960.0,243,47,444.0,69,61,8,6.0,211,807,whitega01,3.6277185,CIN
91,807,Gabe White,2000,484,24,14,6,320.6666,159,156,1331,1224.0,313,49,548.0,72,54,18,10.0,243,807,whitega01,-0.7059790000000001,CIN
92,830,Brian Fuentes,2000,490,18,32,163,477.0,196,184,2034,1754.0,396,47,630.0,203,184,19,45.0,526,830,fuentbr01,7.290497299999998,COL
93,830,Brian Fuentes,2010,491,8,11,41,136.3333,71,63,588,513.0,119,17,196.0,55,49,6,7.0,113,830,fuentbr01,-0.24325256,OAK
94,831,Mike Hampton,1990,492,70,43,1,1043.0003000000004,474,406,4445,3951.0,1040,78,1488.0,390,377,13,21.0,701,831,hamptmi01,18.105598999999998,HOU
95,831,Mike Hampton,2000,493,78,72,0,1221.0003,683,618,5363,4732.0,1327,122,1986.0,510,475,35,28.0,683,831,hamptmi01,-0.462942,ATL
96,842,Kent Mercker,1990,501,62,58,19,1016.6676,524,471,4422,3858.0,997,105,1549.0,453,423,30,22.0,679,842,merckke01,6.4485,ATL
97,842,Kent Mercker,2000,502,12,9,6,304.3333,146,135,1344,1161.0,302,49,532.0,148,131,17,10.0,234,842,merckke01,-1.398201,CIN
98,843,Denny Neagle,1990,503,90,60,3,1311.0005999999996,600,557,5480,4981.0,1268,152,2045.0,378,346,32,30.0,998,843,neaglde01,25.215003,PIT
99,843,Denny Neagle,2000,504,34,32,0,579.3333,348,334,2551,2269.0,619,98,1082.0,216,204,12,23.0,417,843,neaglde01,0.4799500000000001,COL
100,907,Scott Schoeneweis,2000,531,45,56,9,919.0,541,505,4034,3569.0,969,106,1483.0,374,338,36,47.0,533,907,schoesc01,0.8595705,ANA
101,912,Jarrod Washburn,1990,538,10,8,0,135.6667,76,74,581,516.0,131,17,223.0,53,52,1,4.0,87,912,washbja01,-0.5338999999999999,ANA
102,912,Jarrod Washburn,2000,539,97,101,1,1727.9993,824,774,7308,6634.0,1724,223,2824.0,516,496,20,61.0,1016,912,washbja01,5.291978,ANA
103,919,Micah Bowie,2000,542,6,6,0,105.3333,50,49,454,393.0,102,11,162.0,47,46,1,4.0,70,919,bowiemi01,0.6565181999999999,OAK
104,944,Ted Lilly,2000,557,103,83,0,1501.0,744,700,6384,5735.0,1397,219,2418.0,528,506,22,43.0,1280,944,lillyte01,21.189863199999998,CHC
105,944,Ted Lilly,2010,558,27,29,0,458.0007,210,193,1896,1718.0,400,67,702.0,124,111,13,17.0,373,944,lillyte01,8.6378571,LAD
106,947,Mike Magnante,1990,560,22,28,3,494.0,250,225,2150,1897.0,528,33,746.0,191,169,22,16.0,296,947,magnami01,0.44825970000000015,KCR
107,952,Mark Mulder,2000,566,103,60,0,1314.0,657,611,5562,5020.0,1352,141,2087.0,412,397,15,50.0,834,952,muldema01,19.194601199999997,OAK
108,957,Ricardo Rincon,1990,567,6,13,18,169.6667,79,66,719,627.0,142,17,227.0,77,64,13,3.0,165,957,rincori01,1.548857,PIT
109,957,Ricardo Rincon,2000,568,15,11,3,273.9999,121,111,1176,1018.0,242,24,369.0,124,105,19,8.0,235,957,rincori01,3.1963649000000003,OAK
110,969,Barry Zito,2000,571,133,106,0,1998.9997,929,852,8484,7443.0,1775,209,2793.0,826,790,36,81.0,1501,969,zitoba01,23.770415,OAK
111,969,Barry Zito,2010,572,32,37,0,577.6657,325,305,2517,2187.0,606,73,956.0,238,222,16,16.0,384,969,zitoba01,2.443576,SFG
112,990,Mark Hendrickson,2000,586,56,68,1,1082.6667,669,602,4742,4317.0,1249,135,1954.0,319,292,27,23.0,606,990,hendrma01,1.529357,TBD
113,991,Felix Heredia,1990,588,12,8,3,184.0001,112,96,842,717.0,187,13,282.0,103,96,7,7.0,168,991,heredfe01,1.3883450000000002,FLA
114,991,Felix Heredia,2000,589,16,11,3,274.3334,147,129,1204,1041.0,261,32,428.0,129,114,15,11.0,183,991,heredfe01,-1.5482646000000002,CHC
115,1026,Wilson Alvarez,1990,609,86,76,1,1433.0003,709,628,6189,5364.0,1321,151,2051.0,706,683,23,36.0,1074,1026,alvarwi01,9.7446894,CHW
116,1026,Wilson Alvarez,2000,610,16,15,3,314.6670000000001,145,138,1324,1185.0,300,37,471.0,97,91,6,14.0,256,1026,alvarwi01,5.180534,LAD
117,1029,Nick Bierbrodt,2000,611,6,9,0,144.6666,117,107,693,585.0,178,30,308.0,85,81,4,11.0,112,1029,bierbni01,-1.988175,TBD
118,1052,Joe Kennedy,2000,620,43,61,2,908.668,536,484,4015,3558.0,1001,105,1573.0,335,312,23,55.0,558,1052,kennejo04,-0.944891,OAK
119,1102,Cliff Lee,2000,641,90,52,0,1196.6669000000004,577,528,5079,4646.0,1224,134,1916.0,332,322,10,38.0,900,1102,leecl02,13.289348,CLE
120,1102,Cliff Lee,2010,642,53,39,0,960.0013,346,315,3838,3648.0,892,89,1370.0,132,130,2,12.0,924,1102,leecl02,27.64655,PHI
121,1109,Terry Mulholland,1980,644,7,15,0,215.9997,119,112,949,846.0,238,14,335.0,78,73,5,6.0,111,1109,mulhote01,1.507601,SFG
122,1109,Terry Mulholland,1990,645,96,100,4,1774.0,921,821,7510,6888.0,1870,187,2876.0,436,400,36,39.0,935,1109,mulhote01,21.2859935,PHI
123,1109,Terry Mulholland,2000,646,21,27,1,585.6666,356,329,2601,2358.0,725,92,1147.0,167,143,24,25.0,279,1109,mulhote01,0.8457245999999998,CLE
124,1117,CC Sabathia,2000,655,136,81,0,1889.334,827,760,7834,7077.0,1738,168,2668.0,590,568,22,59.0,1590,1117,sabatc.01,43.65278,CLE
125,1117,CC Sabathia,2010,656,115,80,0,1688.0,796,725,7155,5843.0,1666,214,2350.0,509,487,22,64.0,1503,1117,sabatc.01,23.89057,NYY
126,1125,Brian Tallet,2000,659,14,17,0,369.3336,189,176,1611,1400.0,353,34,564.0,168,152,16,19.0,274,1125,tallebr01,-1.22325014,TOR
127,1148,Doug Creek,2000,675,6,10,1,215.0,128,119,976,804.0,198,36,354.0,142,129,13,15.0,224,1148,creekdo01,0.9697788,TBD
128,1156,John Halama,1990,682,12,11,0,211.3333,109,105,910,810.0,230,20,355.0,69,66,3,9.0,126,1156,halamjo01,1.424569,HOU
129,1156,John Halama,2000,683,44,37,0,699.6673000000002,422,366,3086,2808.0,818,93,1277.0,208,193,15,28.0,366,1156,halamjo01,5.705958999999999,SEA
130,1167,Jamie Moyer,1980,691,32,43,0,566.3333,314,282,2486,2195.0,613,68,932.0,227,210,17,14.0,357,1167,moyerja01,1.4738699999999998,CHC
131,1167,Jamie Moyer,1990,692,86,58,0,1362.0003,669,619,5742,5290.0,1415,153,2190.0,340,321,19,44.0,807,1167,moyerja01,13.296062,SEA
132,1167,Jamie Moyer,2000,693,140,94,0,1980.333,989,931,8414,7658.0,2025,270,3302.0,550,519,31,80.0,1178,1167,moyerja01,15.7018448,SEA
133,1167,Jamie Moyer,2010,694,11,14,0,165.3337,104,94,714,659.0,178,31,311.0,38,36,2,8.0,99,1167,moyerja01,0.8352900000000001,COL
134,1176,Arthur Rhodes,1990,700,43,36,9,622.3333,350,336,2696,2329.0,575,79,954.0,316,295,21,9.0,579,1176,rhodear01,6.869490999999999,BAL
135,1176,Arthur Rhodes,2000,701,37,26,23,477.3333,179,171,1956,1750.0,386,35,573.0,171,145,26,6.0,502,1176,rhodear01,11.479855,SEA
136,1176,Arthur Rhodes,2010,702,7,8,1,88.0,31,31,355,320.0,72,12,127.0,29,28,1,1.0,71,1176,rhodear01,0.5150699999999999,CIN
137,1195,Erik Bedard,2000,712,51,41,0,821.9997,375,339,3515,3125.0,762,75,1142.0,325,323,2,30.0,801,1195,bedarer01,18.807723899999996,BAL
138,1195,Erik Bedard,2010,713,20,41,1,481.6667,268,239,2103,1861.0,480,56,766.0,208,206,2,12.0,445,1195,bedarer01,1.0604999999999998,BOS
139,1206,Eric DuBose,2000,718,9,15,0,188.33340000000004,116,109,826,717.0,181,25,302.0,92,90,2,10.0,115,1206,duboser01,-1.4895439999999998,BAL
140,1214,Buddy Groom,1990,721,15,18,8,408.3334,248,233,1833,1616.0,478,42,695.0,176,151,25,11.0,262,1214,groombu01,-0.20381110000000008,DET
141,1214,Buddy Groom,2000,722,16,14,19,326.3333,155,146,1393,1280.0,347,31,520.0,84,73,11,10.0,232,1214,groombu01,3.5397086000000004,BAL
142,1233,Yorkis Perez,1990,732,12,14,1,232.0001,122,116,1013,870.0,205,21,326.0,119,107,12,4.0,213,1233,perezyo01,2.2239736,FLA
143,1242,B.J. Ryan,2000,739,20,28,117,516.3333,209,194,2191,1896.0,411,42,609.0,251,225,26,17.0,596,1242,ryanb.01,12.054020800000002,BAL
144,1258,Doug Davis,2000,750,90,97,0,1628.9994000000004,837,771,7162,6252.0,1687,169,2598.0,736,710,26,39.0,1206,1258,davisdo02,17.415873,MIL
145,1289,Dennys Reyes,1990,764,7,10,2,176.0001,87,80,784,653.0,166,12,242.0,104,95,9,5.0,185,1289,reyesde01,3.557455,CIN
146,1289,Dennys Reyes,2000,765,25,24,1,510.9999,279,242,2286,1954.0,522,47,788.0,273,256,17,14.0,431,1289,reyesde01,4.239963700000001,MIN
147,1293,Kenny Rogers,1990,768,111,74,26,1627.6664,834,742,7004,6247.0,1626,164,2486.0,609,581,28,51.0,1051,1293,rogerke01,10.839527,TEX
148,1293,Kenny Rogers,2000,769,105,78,0,1601.3339999999996,877,802,6962,6285.0,1771,173,2767.0,524,508,16,72.0,854,1293,rogerke01,-1.5481326000000002,TEX
149,1316,Alan Embree,1990,781,14,10,2,232.0001,123,110,1004,858.0,206,29,335.0,114,107,7,7.0,209,1316,embreal01,0.9233503000000001,CLE
150,1316,Alan Embree,2000,782,25,35,23,542.0,306,285,2314,2075.0,538,66,876.0,179,151,28,13.0,482,1316,embreal01,8.219521,BOS
151,1318,Casey Fossum,2000,783,40,53,2,786.0006000000002,535,476,3537,3110.0,873,114,1417.0,319,305,14,63.0,607,1318,fossuca01,2.2614525000000003,BOS
152,1324,Chris Haney,1990,787,38,52,0,793.6663,495,450,3492,3129.0,891,92,1384.0,275,267,8,27.0,427,1324,haneych01,-2.4275768,KCR
153,1340,Darren Oliver,1990,799,54,40,2,833.9993,469,422,3717,3243.0,893,91,1380.0,366,348,18,49.0,515,1340,oliveda02,-0.3477888999999994,TEX
154,1340,Darren Oliver,2000,800,52,43,0,863.3330000000001,502,474,3745,3345.0,954,109,1536.0,298,277,21,38.0,543,1340,oliveda02,1.3232223999999997,LAA
155,1340,Darren Oliver,2010,801,12,15,5,218.3334,74,64,884,802.0,190,16,278.0,56,50,6,9.0,201,1340,oliveda02,2.4938139999999995,TEX
156,1354,Jeremy Affeldt,2000,807,28,30,18,626.6666,333,297,2746,2400.0,627,57,962.0,280,256,24,22.0,482,1354,affelje01,5.231512,KCR
157,1354,Jeremy Affeldt,2010,808,15,16,10,299.3333,122,111,1287,982.0,277,19,332.0,116,99,17,20.0,238,1354,affelje01,1.850913,SFG
158,1369,Chris George,2000,814,14,20,0,237.3333,179,171,1085,971.0,300,39,491.0,95,92,3,4.0,99,1369,georgch02,-4.2042556,KCR
159,1387,Darrell May,2000,825,24,41,0,593.6663,362,332,2581,2362.0,662,111,1201.0,181,172,9,5.0,365,1387,mayda02,-2.7055130000000003,KCR
160,1434,Mike Maroth,2000,859,50,67,0,917.9997,563,515,3985,3628.0,1078,133,1737.0,262,255,7,32.0,443,1434,marotmi01,-4.349419000000001,DET
161,1444,Matt Perisho,2000,863,11,13,0,215.6666,167,148,1028,871.0,264,34,424.0,124,118,6,13.0,148,1444,perisma01,-2.6158718999999997,DET
162,1447,Mark Redman,2000,867,67,85,0,1225.9996999999996,699,656,5306,4790.0,1347,138,2102.0,400,381,19,34.0,736,1447,redmama01,5.2997299999999985,COL
163,1460,Jamie Walker,2000,876,16,17,12,381.6667,178,158,1620,1496.0,387,62,653.0,87,69,18,13.0,279,1460,walkeja01,4.383363,DET
164,1474,Eddie Guardado,1990,880,18,34,9,436.3334,264,253,1914,1675.0,457,64,783.0,188,168,20,8.0,356,1474,guarded01,0.61050855,MIN
165,1474,Eddie Guardado,2000,881,28,27,178,508.3333,212,199,2097,1889.0,437,74,757.0,160,141,19,8.0,442,1474,guarded01,6.5672932,MIN
166,1495,Eric Milton,1990,894,15,25,0,378.666,224,211,1630,1475.0,385,53,644.0,133,131,2,5.0,270,1495,miltoer01,-1.2332800000000002,MIN
167,1495,Eric Milton,2000,895,74,60,0,1203.667,711,667,5196,4773.0,1280,214,2260.0,320,308,12,30.0,857,1495,miltoer01,5.5659990000000015,MIN
168,1510,J.C. Romero,2000,904,32,28,4,578.3333,287,264,2555,2156.0,532,51,811.0,328,290,38,33.0,469,1510,romerj.01,4.1109903,MIN
169,1513,Johan Santana,2000,906,122,60,1,1709.6666999999998,641,592,6946,6364.0,1430,187,2344.0,473,463,10,34.0,1733,1513,santajo02,47.509721,MIN
170,1513,Johan Santana,2010,907,17,18,0,316.0,132,129,1316,1198.0,296,33,462.0,94,91,3,2.0,255,1513,santajo02,5.9662799999999985,NYM
171,1516,Brad Thomas,2010,909,6,3,0,80.3333,43,41,363,308.0,94,5,133.0,35,32,3,5.0,37,1516,thomabr01,-1.0899386,DET
172,1526,Mark Buehrle,2000,913,135,97,0,2060.9993,973,871,8562,7928.0,2143,236,3332.0,470,435,35,52.0,1188,1526,buehrma01,27.081888,CHW
