,BATTER,NAME,YEAR,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP,TEAM
68,24438,Dave Kingman,1980,879,3455,3093,713,547.0,42.0,380,190,1386,296,259.0,37.0,17.0,0,0,272,0,0,0,111,0,6,117,428,22.0,9.0,kingmda01,24438,5.6315738999999985,NYM
69,24810,Gene Larkin,1980,370,1376,1184,316,144.0,13.0,140,18,446,147,130.0,17.0,26.0,0,0,153,0,0,0,1,0,31,32,167,9.0,8.0,larkige01,24810,2.0777816,MIN
70,25265,Greg Luzinski,1980,638,2635,2243,580,373.0,30.0,306,103,1007,333,307.0,26.0,29.0,0,0,2,0,0,0,105,0,0,105,512,11.0,3.0,luzingr01,25265,7.46635,CHW
71,26014,Hal McRae,1970,1178,4641,4140,1199,603.0,54.0,555,106,1884,375,340.0,35.0,51.0,0,0,0,1,21,0,348,33,92,473,624,89.0,60.0,mcraeha01,26014,21.899282,KCR
72,26014,Hal McRae,1980,889,3361,3027,882,492.0,31.0,384,85,1385,269,237.0,32.0,28.0,0,0,0,0,0,0,12,0,2,14,802,19.0,17.0,mcraeha01,26014,12.1300546,KCR
73,26136,Joey Meyer,1980,156,516,474,119,74.0,6.0,35,18,197,35,32.0,3.0,1.0,0,0,51,0,0,0,0,0,0,0,97,1.0,1.0,meyerjo01,26136,-0.265239,MIL
74,26410,Jose Morales,1970,491,959,873,254,141.0,13.0,79,12,342,58,35.0,23.0,5.0,0,28,58,0,0,0,7,0,0,7,157,0.0,4.0,moraljo01,26410,0.5928288,MON
75,26410,Jose Morales,1980,242,469,432,121,66.0,2.0,47,14,191,31,26.0,5.0,1.0,0,2,9,0,0,0,0,0,0,0,108,0.0,0.0,moraljo01,26410,0.7724560400000001,LAD
76,26586,Bobby Murcer,1980,224,654,577,147,112.0,12.0,69,27,253,59,54.0,5.0,3.0,0,0,0,0,0,0,44,0,18,62,119,4.0,1.0,murcebo01,26586,1.0891829,NYY
77,27018,Tony Oliva,1970,764,2983,2751,823,412.0,23.0,325,88,1227,180,119.0,61.0,26.0,0,0,0,0,0,0,8,3,276,287,406,11.0,8.0,olivato01,27018,14.5203968,MIN
78,27057,Jorge Orta,1980,765,2513,2268,617,289.0,28.0,291,51,913,199,174.0,25.0,8.0,0,0,0,1,0,0,20,3,244,267,339,13.0,16.0,ortajo01,27057,4.4065153000000015,KCR
79,27142,Mitchell Page,1980,248,688,609,141,72.0,6.0,99,25,244,62,58.0,4.0,5.0,0,0,0,0,0,0,7,0,3,10,174,22.0,15.0,pagemi02,27142,0.5620037000000001,OAK
80,27183,Dave Parker,1990,289,1210,1112,296,151.0,17.0,118,32,458,74,60.0,14.0,7.0,0,0,3,0,0,0,0,0,0,0,283,7.0,10.0,parkeda01,27183,1.2721310000000003,CAL
81,27416,Ken Phelps,1980,705,2144,1734,425,307.0,20.0,298,122,867,368,343.0,25.0,21.0,0,0,112,0,0,0,0,0,0,0,444,9.0,7.0,phelpke01,27416,11.550538709999998,SEA
82,27723,Jamie Quirk,1970,239,512,482,116,46.0,3.0,40,6,166,22,19.0,3.0,3.0,0,9,2,0,34,19,20,0,0,20,81,0.0,1.0,quirkja01,27723,-0.6364995670000001,KCR
83,27953,Rick Rhoden,1980,307,578,535,132,49.0,4.0,39,5,178,12,12.0,0.0,0.0,294,0,0,0,0,0,0,0,0,0,1,0.0,1.0,rhoderi01,27953,1.01668943,PIT
84,28947,Ken Singleton,1980,677,2780,2377,637,350.0,18.0,284,75,981,375,342.0,33.0,4.0,0,0,0,0,0,0,2,1,226,229,436,0.0,5.0,singlke01,28947,6.263897,BAL
85,29596,Champ Summers,1980,330,833,713,189,115.0,8.0,100,25,301,98,88.0,10.0,12.0,0,0,12,0,0,0,52,0,45,97,101,5.0,5.0,summech01,29596,1.1119685,DET
86,29680,Pat Tabler,1990,223,635,558,139,66.0,9.0,49,3,177,63,56.0,7.0,3.0,0,0,59,0,7,0,20,0,42,62,73,0.0,2.0,tablepa01,29680,-0.14355999999999994,TOR
87,29905,Andre Thornton,1980,806,3344,2857,728,481.0,43.0,387,127,1233,432,387.0,45.0,7.0,0,0,57,0,0,0,0,0,0,0,715,27.0,18.0,thornan01,29905,12.271119,CLE
88,30253,Otto Velez,1980,222,812,674,159,96.0,6.0,91,32,287,125,114.0,11.0,5.0,0,0,4,0,0,0,0,0,0,0,203,1.0,3.0,velezot01,30253,2.4136435999999994,TOR
89,30293,Joe Vitiello,1990,205,642,565,133,83.0,3.0,57,21,224,63,60.0,3.0,11.0,0,0,28,0,0,0,12,0,17,29,123,2.0,0.0,vitiejo01,30293,0.114907,KCR
90,31152,Carl Yastrzemski,1980,446,1762,1541,410,231.0,10.0,176,48,641,206,185.0,21.0,4.0,0,0,71,0,0,0,35,3,4,42,309,0.0,4.0,yastrca01,31152,4.026204,BOS
91,31273,Richie Zisk,1980,450,1754,1593,457,218.0,10.0,181,68,736,146,131.0,15.0,4.0,0,0,0,0,0,0,2,0,35,37,394,2.0,5.0,ziskri01,31273,4.613897,SEA
92,31564,Edwin Encarnacion,2010,1360,5764,4963,1308,956.0,53.0,819,335,2574,689,645.0,44.0,56.0,0,0,489,1,142,0,5,0,0,5,723,41.0,9.0,encared01,31564,31.233428000000004,TOR
93,31646,Jonny Gomes,2000,513,1784,1545,372,235.0,21.0,225,86,727,177,170.0,7.0,40.0,0,0,0,0,0,0,86,0,131,217,249,33.0,16.0,gomesjo01,31646,4.9823556,TBD
94,31757,Jason Kubel,2000,511,1863,1675,465,279.0,19.0,229,71,794,162,149.0,13.0,4.0,0,0,0,0,0,0,163,0,77,240,242,9.0,3.0,kubelja01,31757,5.140084,MIN
95,42577,Luke Scott,2010,382,1388,1223,306,189.0,17.0,156,59,566,134,125.0,9.0,14.0,0,0,42,0,0,0,65,0,0,65,243,9.0,2.0,scottlu01,42577,2.551801,BAL
96,45379,Kendrys Morales,2010,1084,4328,3913,1022,587.0,27.0,458,167,1723,344,318.0,26.0,44.0,2,0,216,0,1,0,0,0,5,5,809,2.0,5.0,moralke01,45379,9.186114,KCR
97,45396,Billy Butler,2010,1039,4176,3725,1078,528.0,39.0,432,107,1629,382,331.0,51.0,30.0,0,0,234,0,0,0,0,0,0,0,761,4.0,2.0,butlebi03,45396,10.603917,KCR
98,57472,Jesus Montero,2010,226,865,806,204,104.0,8.0,73,28,321,48,42.0,6.0,3.0,0,85,28,0,0,0,0,0,0,0,104,0.0,3.0,monteje01,57472,-1.8270962,SEA
99,60293,Kennys Vargas,2010,236,859,783,197,116.0,6.0,104,35,342,65,61.0,4.0,5.0,0,0,103,0,0,0,0,0,0,0,112,0.0,0.0,vargake01,60293,-0.26722680000000004,MIN
100,60958,Matt Davidson,2010,273,1028,926,209,143.0,8.0,103,49,403,81,80.0,1.0,13.0,3,0,64,0,68,0,0,0,0,0,125,0.0,2.0,davidma02,60958,-0.48320776,CHW
101,67758,Evan Gattis,2010,706,2662,2443,605,410.0,26.0,299,139,1162,167,149.0,18.0,26.0,0,241,5,0,0,0,59,0,0,59,351,3.0,3.0,gattiev01,67758,11.941849000000001,HOU
102,69321,Renato Nunez,2010,241,891,807,198,116.0,6.0,101,40,356,64,63.0,1.0,14.0,0,0,24,0,77,0,8,0,0,8,119,1.0,1.0,nunezre01,69321,0.7489021,BAL
103,70408,Daniel Vogelbach,2010,144,558,462,96,76.0,2.0,73,30,203,92,90.0,2.0,2.0,0,0,57,0,0,0,0,0,0,0,81,0.0,0.0,vogelda01,70408,1.60938,SEA
104,111306,Shohei Ohtani,2010,210,792,710,203,123.0,5.0,110,40,378,70,67.0,3.0,4.0,10,0,0,0,0,0,0,0,0,0,174,22.0,7.0,ohtansh01,111306,2.5406169999999997,LAA
