,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
81,1589,Derek Jeter,1990,9985,638,2886,2537,807,341.0,20.0,486,63,1180,273,266.0,7.0,36,0,0,0,0,0,637,0,0,0,0,0,86,33.0,jeterde01,1589,23.5
82,1589,Derek Jeter,2000,20045,1500,6923,6122,1940,727.0,24.0,1088,161,2793,612,586.0,26.0,107,0,0,0,0,0,1486,0,0,0,0,14,219,47.0,jeterde01,1589,44.2
83,1589,Derek Jeter,2010,10060,609,2793,2536,718,243.0,14.0,349,36,948,197,191.0,6.0,27,0,0,0,0,0,551,0,0,0,0,59,53,17.0,jeterde01,1589,4.8
84,16665,Kurt Abbott,1990,13972,617,2045,1878,487,230.0,11.0,251,56,801,119,110.0,9.0,16,0,0,8,149,41,309,32,2,8,42,6,20,10.0,abbotku01,16665,0.7999999999999996
85,16695,Alex Arias,1990,15964,629,1664,1474,410,169.0,11.0,167,14,530,147,136.0,11.0,19,0,0,1,39,161,268,0,0,0,0,0,8,5.0,ariasal01,16695,2.6
86,16749,Rafael Belliard,1990,17946,718,1414,1304,290,76.0,4.0,112,1,345,56,47.0,9.0,13,0,0,0,118,5,541,0,0,0,0,0,9,10.0,bellira01,16749,-1.7
87,16754,Mike Benjamin,1990,19945,603,1733,1567,360,147.0,8.0,186,22,539,87,68.0,19.0,21,1,0,14,146,103,322,0,0,0,0,2,39,6.0,benjami01,16754,7.0
88,16770,Jeff Blauser,1990,19945,1196,4503,3834,1008,445.0,36.0,610,106,1564,511,492.0,19.0,86,0,0,0,92,46,1012,1,1,0,2,1,53,35.0,blausje01,16770,19.099999999999998
89,16776,Tim Bogar,1990,13972,579,1342,1197,277,126.0,13.0,144,15,394,106,95.0,11.0,14,0,0,57,34,116,344,2,0,0,2,1,12,11.0,bogarti01,16776,2.7
90,16856,Mike Caruso,1990,3997,269,1119,1052,292,90.0,4.0,141,7,361,34,34.0,0.0,10,0,0,0,0,0,263,0,0,0,0,0,34,20.0,carusmi01,16856,1.1
91,16863,Andujar Cedeno,1990,13951,616,2233,2051,485,223.0,10.0,221,47,750,143,107.0,36.0,21,0,0,0,0,6,599,0,0,0,0,0,26,17.0,cedenan01,16863,-3.0999999999999996
92,16970,Gary DiSarcina,1990,19945,1072,3990,3706,951,344.0,21.0,438,27,1256,153,153.0,0.0,35,0,0,0,10,2,1056,0,0,0,0,0,47,43.0,disarga01,16970,10.700000000000001
