,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
43,21009,Tommy Davis,1970,13811,745,2838,2658,771,375.0,21.0,263,36,991,142,122.0,20.0,6,0,0,54,3,2,0,140,0,4,144,451,38,15.0,davisto02,21009,3.3000000000000003
44,22253,Oscar Gamble,1980,11895,464,1381,1152,285,207.0,11.0,176,63,542,205,193.0,12.0,13,0,0,0,0,0,0,55,0,110,165,223,9,5.0,gamblos01,22253,6.5
45,23639,Willie Horton,1970,19745,1196,4792,4381,1225,666.0,34.0,507,176,1967,341,281.0,60.0,29,0,0,0,0,0,0,466,0,61,527,660,9,18.0,hortowi01,23639,10.900000000000002
46,23862,Reggie Jackson,1980,15868,1039,4078,3515,864,582.0,18.0,500,194,1610,524,460.0,64.0,20,0,0,0,0,0,0,0,0,449,449,532,17,20.0,jacksre01,23862,8.799999999999999
47,23978,Cliff Johnson,1980,13881,761,2694,2328,605,410.0,26.0,305,106,1037,317,288.0,29.0,21,0,1,78,0,0,0,3,0,0,3,600,6,9.0,johnscl01,23978,7.4
48,24438,Dave Kingman,1980,13881,879,3455,3093,713,547.0,42.0,380,190,1386,296,259.0,37.0,17,0,0,272,0,0,0,111,0,6,117,428,22,9.0,kingmda01,24438,2.9000000000000004
49,24810,Gene Larkin,1980,5964,370,1376,1184,316,144.0,13.0,140,18,446,147,130.0,17.0,26,0,0,153,0,0,0,1,0,31,32,167,9,8.0,larkige01,24810,2.2
50,25265,Greg Luzinski,1980,9910,638,2635,2243,580,373.0,30.0,306,103,1007,333,307.0,26.0,29,0,0,2,0,0,0,105,0,0,105,512,11,3.0,luzingr01,25265,7.5
51,26014,Hal McRae,1970,19745,1178,4641,4140,1199,603.0,54.0,555,106,1884,375,340.0,35.0,51,0,0,0,1,21,0,348,33,92,473,624,89,60.0,mcraeha01,26014,18.500000000000004
52,26014,Hal McRae,1980,15868,889,3361,3027,882,492.0,31.0,384,85,1385,269,237.0,32.0,28,0,0,0,0,0,0,12,0,2,14,802,19,17.0,mcraeha01,26014,10.299999999999999
53,27018,Tony Oliva,1970,13811,764,2983,2751,823,412.0,23.0,325,88,1227,180,119.0,61.0,26,0,0,0,0,0,0,8,3,276,287,406,11,8.0,olivato01,27018,11.2
54,27057,Jorge Orta,1980,15868,765,2513,2268,617,289.0,28.0,291,51,913,199,174.0,25.0,8,0,0,0,1,0,0,20,3,244,267,339,13,16.0,ortajo01,27057,3.2
55,27183,Dave Parker,1990,3981,289,1210,1112,296,151.0,17.0,118,32,458,74,60.0,14.0,7,0,0,3,0,0,0,0,0,0,0,283,7,10.0,parkeda01,27183,0.10000000000000014
56,27416,Ken Phelps,1980,19845,705,2144,1734,425,307.0,20.0,298,122,867,368,343.0,25.0,21,0,0,112,0,0,0,0,0,0,0,444,9,7.0,phelpke01,27416,10.5
57,28947,Ken Singleton,1980,9910,677,2780,2377,637,350.0,18.0,284,75,981,375,342.0,33.0,4,0,0,0,0,0,0,2,1,226,229,436,0,5.0,singlke01,28947,6.000000000000001
58,29905,Andre Thornton,1980,13888,806,3344,2857,728,481.0,43.0,387,127,1233,432,387.0,45.0,7,0,0,57,0,0,0,0,0,0,0,715,27,18.0,thornan01,29905,6.6
59,31152,Carl Yastrzemski,1980,7926,446,1762,1541,410,231.0,10.0,176,48,641,206,185.0,21.0,4,0,0,71,0,0,0,35,3,4,42,309,0,4.0,yastrca01,31152,2.4
60,31273,Richie Zisk,1980,7926,450,1754,1593,457,218.0,10.0,181,68,736,146,131.0,15.0,4,0,0,0,0,0,0,2,0,35,37,394,2,5.0,ziskri01,31273,4.4
61,31564,Edwin Encarnacion,2010,20145,1360,5764,4963,1308,956.0,53.0,819,335,2574,689,645.0,44.0,56,0,0,489,1,142,0,5,0,0,5,723,41,9.0,encared01,31564,31.1
62,31646,Jonny Gomes,2000,14042,513,1784,1545,372,235.0,21.0,225,86,727,177,170.0,7.0,40,0,0,0,0,0,0,86,0,131,217,249,33,16.0,gomesjo01,31646,2.2
63,31757,Jason Kubel,2000,10034,511,1863,1675,465,279.0,19.0,229,71,794,162,149.0,13.0,4,0,0,0,0,0,0,163,0,77,240,242,9,3.0,kubelja01,31757,4.3
64,42577,Luke Scott,2010,8046,382,1388,1223,306,189.0,17.0,156,59,566,134,125.0,9.0,14,0,0,42,0,0,0,65,0,0,65,243,9,2.0,scottlu01,42577,4.699999999999999
65,45379,Kendrys Morales,2010,18134,1084,4328,3913,1022,587.0,27.0,458,167,1723,344,318.0,26.0,44,2,0,216,0,1,0,0,0,5,5,809,2,5.0,moralke01,45379,8.9
66,45396,Billy Butler,2010,14091,1039,4176,3725,1078,528.0,39.0,432,107,1629,382,331.0,51.0,30,0,0,234,0,0,0,0,0,0,0,761,4,2.0,butlebi03,45396,8.9
67,67758,Evan Gattis,2010,12093,706,2662,2443,605,410.0,26.0,299,139,1162,167,149.0,18.0,26,0,241,5,0,0,0,59,0,0,59,351,3,3.0,gattiev01,67758,8.3
