,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP
105,24956,Denny Lemaster,1960,6073,81,91,3,1545.9997,650,590,6356,5760.0,1447,156,2193.0,507,450,57,20,1161,24956,lemasde01,18.1
106,24979,Dutch Leonard,1910,6087,104,77,11,1578.6660000000002,514,389,6283,0.0,1346,23,0.0,477,477,0,48,873,24979,leonadu01,30.799999999999997
107,25135,Mickey Lolich,1960,6176,102,74,10,1528.3339999999998,640,587,6374,5702.0,1318,145,2003.0,518,491,27,60,1336,25135,lolicmi01,14.2
108,25135,Mickey Lolich,1970,6177,115,117,1,2110.001,897,803,8765,7984.0,2048,202,3116.0,581,541,40,32,1496,25135,lolicmi01,33.9
109,25165,Ed Lopat,1940,6192,82,70,2,1335.0,564,486,5617,0.0,1368,90,0.0,371,371,0,18,500,25165,lopated01,15.4
110,25165,Ed Lopat,1950,6193,84,42,1,1104.333,444,383,4521,1399.0,1096,89,577.0,279,274,5,25,359,25165,lopated01,12.8
111,25507,Rube Marquard,1910,6373,144,103,17,2128.3347,816,641,8621,0.0,1942,62,0.0,527,527,0,18,1141,25507,marquru01,28.8
112,25613,Jon Matlack,1970,6433,102,98,1,1803.0,693,595,7405,6787.0,1662,115,2324.0,485,423,62,20,1215,25613,matlajo01,33.400000000000006
113,25656,Rudy May,1970,6457,110,107,3,1870.3327,825,720,7809,6924.0,1649,143,2401.0,708,666,42,31,1238,25656,mayru01,12.4
114,25771,Mike McCormick,1960,6514,103,98,5,1786.3329999999999,753,676,7459,6771.0,1670,187,2565.0,553,481,72,14,983,25771,mccormi03,18.0
115,25820,Sam McDowell,1960,6539,89,80,10,1589.9990000000007,608,522,6690,5761.0,1207,91,1700.0,788,750,38,43,1663,25820,mcdowsa01,30.1
116,25884,Scott McGregor,1980,6575,107,83,0,1604.3326,799,736,6797,6257.0,1727,189,2659.0,413,392,21,16,668,25884,mcgresc01,14.600000000000001
117,25986,Dave McNally,1960,6621,90,55,1,1366.3339999999998,534,482,5618,5078.0,1208,119,1833.0,424,404,20,41,882,25986,mcnalda01,12.600000000000001
118,25986,Dave McNally,1970,6622,94,64,1,1363.6663,536,500,5610,5080.0,1280,111,1887.0,402,366,36,31,630,25986,mcnalda01,12.200000000000001
119,26287,Clarence Mitchell,1920,6775,72,91,6,1387.0001,795,678,6125,0.0,1671,83,0.0,414,414,0,35,320,26287,mitchcl01,19.099999999999998
120,26296,Willie Mitchell,1910,6784,82,90,4,1608.9997,725,518,6598,0.0,1446,14,0.0,595,595,0,71,913,26296,mitchwi01,16.799999999999997
121,26313,George Mogridge,1920,6798,86,79,10,1348.0,651,543,5786,0.0,1488,54,0.0,365,365,0,41,399,26313,mogrige01,17.8
122,26718,Art Nehf,1920,7022,123,77,13,1720.0013,821,699,7234,0.0,1853,92,0.0,425,425,0,16,495,26718,nehfar01,12.500000000000002
123,26765,Hal Newhouser,1940,7053,170,118,15,2453.333,927,774,10360,0.0,2127,84,0.0,1068,1068,0,10,1579,26765,newhoha01,54.3
124,26851,Fred Norman,1970,7113,100,94,4,1794.6650000000004,777,705,7566,6670.0,1642,170,2504.0,744,675,69,19,1208,26851,normafr01,18.1
125,26880,Joe Nuxhall,1950,7133,83,73,11,1340.0012999999994,649,583,5744,3609.0,1359,120,1443.0,486,465,21,37,692,26880,nuxhajo01,14.999999999999998
126,26928,Billy O'Dell,1960,7149,76,66,35,1231.6667,545,479,5192,4695.0,1205,94,1709.0,388,338,50,32,799,26928,o'delbi01,11.400000000000002
127,26980,Jim O'Toole,1960,7169,93,75,4,1479.0003000000004,650,565,6201,5620.0,1397,105,1998.0,468,430,38,22,967,26980,o'tooji01,21.000000000000004
128,27077,Claude Osteen,1960,7223,114,121,1,2077.3319,825,722,8596,7877.0,2034,137,2828.0,533,460,73,28,1083,27077,osteecl01,25.1
129,27077,Claude Osteen,1970,7224,82,74,0,1371.6670000000001,599,539,5775,5267.0,1422,110,2020.0,395,376,19,17,523,27077,osteecl01,12.2
130,27129,Gene Packard,1910,7254,85,69,17,1410.3329999999999,602,472,5811,0.0,1393,28,0.0,356,356,0,35,488,27129,package01,8.600000000000001
131,27197,Mel Parnell,1950,7304,81,57,8,1194.6663,567,481,4943,1452.0,1192,88,595.0,507,504,3,18,510,27197,parneme01,17.2
132,27233,Case Patten,1900,7325,106,128,4,2062.334,1079,770,97,0.0,2154,40,0.0,557,557,0,74,757,27233,patteca01,14.799999999999995
133,27317,Herb Pennock,1920,7374,163,112,20,2312.999,1038,883,9743,0.0,2485,87,0.0,556,556,0,21,731,27317,pennohe01,40.199999999999996
134,27368,Gary Peters,1960,7416,91,78,3,1559.0008999999998,574,506,6436,5762.0,1339,102,1931.0,513,473,40,46,1097,27368,peterga01,21.2
135,27380,Fritz Peterson,1970,7424,84,79,1,1337.6660000000002,603,525,5569,5200.0,1427,119,2062.0,271,231,40,29,552,27380,peterfr01,9.599999999999998
136,27458,Billy Pierce,1950,7476,155,121,16,2382.9990000000007,898,809,9786,5224.0,2107,189,1877.0,840,813,27,23,1487,27458,piercbi02,44.1
137,27511,Juan Pizarro,1960,7509,100,78,25,1477.0011,622,540,6270,5520.0,1302,137,1978.0,616,567,49,22,1119,27511,pizarju01,13.399999999999997
138,27515,Eddie Plank,1900,7515,186,121,1,2666.001,955,716,1984,0.0,2360,26,0.0,599,599,0,140,1342,27515,planked01,56.5
139,27515,Eddie Plank,1910,7516,140,73,22,1829.6670000000001,611,458,7158,0.0,1598,16,0.0,473,473,0,50,904,27515,planked01,31.3
140,27532,Johnny Podres,1960,7527,80,62,7,1237.6677,554,495,5232,4756.0,1238,137,1896.0,373,321,52,16,763,27532,podrejo01,13.099999999999998
141,27547,Howie Pollet,1940,7535,83,49,8,1156.9989999999998,449,385,4875,0.0,1107,52,0.0,397,397,0,17,508,27547,polleho01,24.099999999999998
142,27797,Doug Rau,1970,7672,80,58,3,1250.6664,502,459,5270,4760.0,1245,97,1801.0,378,364,14,28,694,27797,raudo01,12.799999999999999
143,27802,Shane Rawley,1980,7677,102,100,25,1675.6673,820,749,7215,6409.0,1732,144,2566.0,643,587,56,22,877,27802,rawlesh01,19.099999999999998
144,27927,Jerry Reuss,1970,7742,114,108,6,1966.9987,942,828,8459,7513.0,2000,121,2728.0,742,676,66,34,1141,27927,reussje01,13.0
145,27927,Jerry Reuss,1980,7743,105,83,5,1688.001,755,652,7035,6507.0,1724,123,2412.0,379,328,51,23,762,27927,reussje01,19.199999999999996
146,28064,Eppa Rixey,1910,7812,76,81,4,1319.6670000000001,545,394,5452,0.0,1230,15,0.0,410,410,0,28,581,28064,rixeyep01,14.200000000000001
147,28064,Eppa Rixey,1920,7813,166,142,10,2678.3320000000003,1169,964,11150,0.0,2827,59,0.0,567,567,0,37,686,28064,rixeyep01,40.1
148,28081,Dave Roberts,1970,7821,101,115,11,1952.3327,884,800,8225,7465.0,2009,138,2857.0,563,490,73,27,880,28081,roberda05,23.099999999999998
149,28218,Jim Rooker,1970,7905,97,91,7,1629.3339999999996,725,621,6896,6125.0,1538,115,2225.0,617,565,52,17,856,28218,rookeji01,15.3
150,28304,Nap Rucker,1910,7951,89,83,12,1457.3342999999998,527,422,5871,0.0,1337,31,0.0,395,395,0,32,686,28304,ruckena01,30.099999999999998
151,28313,Dutch Ruether,1920,7958,115,86,8,1799.9990000000007,882,750,7825,0.0,1959,53,0.0,627,627,0,53,585,28313,ruethdu01,19.000000000000004
152,28338,Reb Russell,1910,7978,80,59,13,1291.6660000000002,453,335,5021,0.0,1128,7,0.0,267,267,0,18,495,28338,russere01,22.5
153,28343,Babe Ruth,1910,7982,89,46,4,1190.333,378,290,4749,0.0,934,9,0.0,425,425,0,29,483,28343,ruthba01,20.5
154,28371,Ray Sadecki,1960,8002,99,103,4,1777.6660000000004,884,773,7613,6773.0,1755,185,2668.0,662,618,44,25,1174,28371,sadecra01,8.600000000000001
155,28392,Slim Sallee,1910,8013,149,114,32,2244.667,808,615,9048,0.0,2102,53,0.0,448,448,0,33,704,28392,sallesl01,34.900000000000006
156,28763,Bobby Shantz,1950,8225,88,71,17,1433.3337,628,563,5773,2983.0,1380,113,1131.0,458,430,28,29,726,28763,shantbo01,22.5
157,28771,Joe Shaute,1920,8227,78,88,11,1442.3337,807,652,6236,0.0,1636,54,0.0,443,443,0,20,400,28771,shautjo01,15.6
