,PITCHER,NAME,YEAR,Unnamed: 0,W,L,SV,IP,R,ER,PA,AB,H,HR,TB,BB,UBB,IBB,HBP,SO,PLAYERID,BASEBALLREFERENCECODE,WARP
34,16664,Jim Abbott,1990,1129,75,96,0,1492.6667,785,712,6423,5747.0,1589,141,2307.0,546,519,27,28,773,16664,abbotji01,19.2
35,16706,Steve Avery,1990,1160,94,83,0,1538.6667000000002,789,713,6538,5832.0,1510,143,2287.0,562,536,26,26,974,16706,averyst01,12.799999999999999
36,17244,Jimmy Key,1980,1575,74,49,10,1115.0,459,416,4570,4203.0,1043,109,1634.0,279,259,20,16,614,17244,keyji01,19.999999999999996
37,17244,Jimmy Key,1990,1576,112,68,0,1476.6665999999998,645,594,6149,5653.0,1475,145,2231.0,389,380,9,22,924,17244,keyji01,29.2
38,17266,Mark Langston,1980,1594,86,76,0,1374.3329999999999,653,580,5866,5089.0,1206,146,1946.0,668,652,16,26,1253,17266,langsma01,24.1
39,17266,Mark Langston,1990,1595,93,82,0,1588.3317,785,726,6696,5968.0,1517,165,2348.0,621,603,18,20,1211,17266,langsma01,25.900000000000002
40,17808,Bruce Hurst,1980,2011,103,84,0,1703.6667,831,759,7254,6593.0,1783,189,2757.0,545,514,31,24,1222,17808,hurstbr01,26.099999999999998
41,17832,John Smiley,1990,2024,95,79,0,1410.6670000000001,674,615,5852,5354.0,1410,139,2180.0,347,332,15,32,965,17832,smilejo01,16.299999999999997
42,17841,Tom Browning,1980,2033,78,52,0,1211.3333,552,501,5017,4564.0,1141,149,1838.0,337,303,34,19,675,17841,brownto05,14.0
43,17877,Frank Viola,1980,2062,117,98,0,1858.001,877,792,7801,7148.0,1850,218,2905.0,548,528,20,30,1287,17877,violafr01,27.799999999999997
44,17942,Rick Honeycutt,1980,2113,79,101,20,1501.0014,703,603,6314,5762.0,1529,122,2247.0,431,382,49,28,700,17942,honeyri01,15.500000000000002
45,18205,Dave Righetti,1980,2296,73,59,188,1066.3333,417,365,4509,3979.0,941,55,1291.0,437,402,35,14,884,18205,righeda01,22.200000000000003
46,18213,Fernando Valenzuela,1980,2300,128,103,2,2144.6657000000005,869,760,8957,7921.0,1876,133,2662.0,838,784,54,16,1644,18213,valenfe01,33.1
47,18251,Bob Ojeda,1980,2341,88,73,1,1364.6669000000004,615,553,5725,5158.0,1301,106,1915.0,458,431,27,18,822,18251,ojedabo01,18.599999999999998
48,18446,Nick Altrock,1900,2446,79,69,6,1404.001,519,392,737,0.0,1316,13,0.0,238,238,0,17,403,18446,altroni01,10.6
49,18520,Johnny Antonelli,1950,2485,116,92,9,1721.3327,711,609,7059,4721.0,1579,163,1782.0,574,539,35,33,1026,18520,antonjo02,31.1
50,18737,Floyd Bannister,1980,2611,112,109,0,1890.6663,929,836,7994,7241.0,1813,234,2958.0,616,593,23,28,1356,18737,bannifl01,23.8
51,18746,Steve Barber,1960,2615,111,96,4,1726.9993,734,627,7398,6387.0,1541,106,2157.0,834,795,39,34,1144,18746,barbest01,16.700000000000003
52,19031,Rube Benton,1910,2773,106,97,16,1723.6666999999998,741,570,7164,0.0,1587,27,0.0,549,549,0,82,750,19031,bentoru01,12.100000000000001
53,19242,Vida Blue,1970,2885,155,109,1,2398.6667,927,819,9828,8855.0,2080,161,2983.0,780,738,42,19,1600,19242,bluevi01,35.4
54,19472,Ed Brandt,1930,3024,104,112,17,1875.3333,832,744,7959,0.0,1912,100,0.0,586,586,0,23,743,19472,branded01,26.900000000000002
55,19494,Harry Brecheen,1940,3032,105,59,12,1387.9983,480,422,5662,0.0,1242,68,0.0,378,378,0,27,666,19494,brechha01,32.3
56,19518,Ken Brett,1970,3050,80,81,8,1439.3337,693,627,6093,5474.0,1403,119,2078.0,521,464,57,18,771,19518,brettke01,12.099999999999998
57,19631,Lloyd Brown,1930,3118,78,88,17,1317.0,718,609,5719,0.0,1464,63,0.0,440,440,0,17,385,19631,brownll01,17.6
58,19887,Mike Caldwell,1970,3268,78,73,17,1426.6657000000002,680,564,6028,5518.0,1484,95,2068.0,373,323,50,30,657,19887,caldwmi01,14.7
59,19958,John Candelaria,1980,3308,97,69,14,1399.9997,604,544,5742,5304.0,1379,129,2126.0,303,279,24,20,971,19958,candejo01,19.7
60,20005,Steve Carlton,1970,3346,178,126,0,2746.9990000000007,1103,971,11360,10187.0,2413,238,3715.0,960,873,87,31,2097,20005,carltst01,44.699999999999996
61,20005,Steve Carlton,1980,3347,104,84,1,1732.3337,774,670,7271,6501.0,1604,135,2391.0,631,581,50,12,1453,20005,carltst01,26.799999999999997
62,20299,Watty Clark,1930,3509,75,64,10,1174.333,575,498,4986,0.0,1297,66,0.0,229,229,0,11,380,20299,clarkwa02,14.0
63,20451,Ray Collins,1910,3594,80,59,4,1262.3339999999996,464,350,4906,0.0,1176,13,0.0,251,251,0,10,480,20451,collira01,24.1
64,20581,Wilbur Cooper,1910,3656,96,83,11,1687.0010000000002,601,450,6815,0.0,1469,29,0.0,458,458,0,49,675,20581,coopewi01,24.6
65,20581,Wilbur Cooper,1920,3657,120,95,3,1793.0007000000005,805,669,7562,0.0,1946,74,0.0,395,395,0,51,577,20581,coopewi01,24.300000000000004
