,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
368,27963,Del Rice,1940,9735,427,1391,1227,285,147.0,0.0,114,22,427,127,0.0,0.0,14,0,415,0,0,0,0,0,0,0,0,0,2,0.0,ricede01,27963,2.7
369,27963,Del Rice,1950,19545,818,2755,2461,591,279.0,5.0,215,53,884,232,41.0,17.0,20,0,784,0,0,0,0,0,0,0,0,0,0,2.0,ricede01,27963,3.4999999999999996
370,28054,Lew Ritter,1900,13335,462,1580,1437,315,120.0,0.0,129,1,385,96,0.0,0.0,6,0,410,3,5,5,0,6,2,8,16,0,55,0.0,rittele01,28054,-1.4
371,28101,Aaron Robinson,1940,11678,441,1641,1400,382,219.0,0.0,159,50,612,228,0.0,0.0,3,0,414,0,0,0,0,0,0,0,0,0,0,5.0,robinaa01,28101,11.0
372,28146,Buck Rodgers,1960,17685,932,3353,3033,704,288.0,37.0,259,31,947,234,189.0,45.0,17,0,895,0,0,0,0,1,0,0,1,0,17,27.0,rodgebu01,28146,3.3000000000000007
373,28151,Ellie Rodriguez,1970,13811,671,2287,1882,465,182.0,25.0,192,14,585,298,275.0,23.0,47,0,638,0,0,0,0,0,0,0,0,15,14,16.0,rodriel01,28151,12.6
374,28202,Johnny Romano,1960,15708,848,3095,2634,667,391.0,33.0,334,124,1164,390,363.0,27.0,28,0,770,3,0,0,0,8,0,0,8,0,7,8.0,romanjo01,28202,19.4
375,28217,Phil Roof,1960,13760,435,1220,1083,226,92.0,4.0,84,16,327,100,85.0,15.0,14,0,426,2,0,0,0,0,0,0,0,0,8,6.0,roofph01,28217,-0.20000000000000007
376,28217,Phil Roof,1970,15788,422,1184,1068,237,118.0,2.0,106,27,360,84,81.0,3.0,9,0,409,1,0,0,0,0,0,0,0,1,3,4.0,roofph01,28217,3.3999999999999995
377,28226,Buddy Rosar,1940,19445,860,3168,2839,743,330.0,0.0,293,16,952,276,0.0,0.0,10,0,818,0,0,0,0,0,0,0,0,0,13,18.0,rosarbu01,28226,15.0
378,28233,Johnny Roseboro,1960,19645,1272,4452,3911,980,455.0,44.0,408,77,1426,431,341.0,90.0,31,0,1206,1,0,2,0,0,0,0,0,0,48,42.0,rosebjo01,28233,20.299999999999997
