,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
0,7,Craig Biggio,1990,19945,1515,6795,5823,1728,641.0,45.0,1042,136,2568,730,687.0,43.0,147,0,252,0,1209,0,0,24,35,2,61,4,319,100.0,biggicr01,7,53.3
1,7,Craig Biggio,2000,16028,1151,5068,4487,1192,469.0,31.0,724,139,1922,374,359.0,15.0,132,0,1,0,780,0,0,84,216,0,300,16,68,20.0,biggicr01,7,9.299999999999999
2,26,Mark Loretta,2000,20045,1209,4695,4169,1230,445.0,44.0,531,58,1651,396,380.0,16.0,51,2,0,59,704,160,197,0,0,0,0,17,26,21.0,loretma01,26,15.9
3,70,Julio Franco,1990,15952,827,3569,3106,945,457.0,23.0,520,83,1363,416,389.0,27.0,15,0,0,126,342,0,0,4,0,1,5,340,108,38.0,francju01,70,21.9
4,74,Marcus Giles,2000,14028,792,3340,2934,813,333.0,22.0,468,76,1260,318,312.0,6.0,36,0,0,0,745,9,0,0,0,0,0,0,70,25.0,gilesma01,74,16.9
5,91,Keith Lockhart,1990,11979,572,1575,1424,392,184.0,23.0,189,31,586,110,104.0,6.0,10,0,0,0,292,107,1,0,0,1,1,25,25,10.0,lockhke01,91,5.800000000000001
6,115,Ronnie Belliard,2000,20045,1270,4920,4421,1206,524.0,31.0,600,104,1845,406,391.0,15.0,23,0,0,57,1050,88,9,0,0,0,0,1,37,21.0,belliro01,115,18.9
7,162,Eric Young,1990,15964,935,3816,3314,959,338.0,24.0,566,43,1309,384,375.0,9.0,51,0,0,0,722,0,0,125,10,0,135,1,292,107.0,younger01,162,13.799999999999999
8,162,Eric Young,2000,14021,795,3180,2805,772,205.0,20.0,430,36,1078,276,271.0,5.0,38,0,0,0,573,1,8,106,17,2,125,27,173,61.0,younger01,162,4.999999999999999
9,167,Miguel Cairo,1990,7990,295,1128,1036,288,84.0,7.0,122,8,376,52,52.0,0.0,15,0,0,0,283,0,2,0,0,0,0,2,41,15.0,cairomi01,167,4.1000000000000005
10,167,Miguel Cairo,2000,20045,932,2606,2325,605,236.0,29.0,310,20,827,152,144.0,8.0,37,0,0,127,444,123,52,56,0,13,69,8,87,21.0,cairomi01,167,2.6999999999999993
11,215,Fernando Vina,1990,13972,631,2390,2126,600,172.0,12.0,320,22,810,156,150.0,6.0,73,0,0,0,537,14,19,6,0,0,6,1,66,36.0,vinafe01,215,6.1000000000000005
12,215,Fernando Vina,2000,10010,517,2352,2114,596,171.0,12.0,307,18,798,132,127.0,5.0,84,0,0,0,512,0,0,0,0,0,0,0,50,31.0,vinafe01,215,6.3999999999999995
13,223,Mark Bellhorn,2000,16028,652,2214,1871,432,226.0,11.0,290,63,748,311,305.0,6.0,16,0,0,41,332,176,28,1,3,4,8,3,21,12.0,bellhma01,223,7.5
14,285,Jay Bell,2000,8006,382,1356,1158,286,128.0,11.0,160,33,455,162,158.0,4.0,10,0,0,18,241,60,14,0,0,0,0,5,7,4.0,bellja01,285,-0.19999999999999996
15,324,Junior Spivey,2000,10015,457,1785,1553,419,201.0,13.0,258,48,677,175,167.0,8.0,35,0,0,0,435,0,2,0,1,0,1,0,32,15.0,spiveju01,324,8.200000000000001
16,332,Tony Womack,1990,11977,495,2159,1976,549,144.0,12.0,301,13,722,144,141.0,3.0,6,0,0,0,330,0,33,0,16,123,139,0,194,28.0,womacto01,332,0.9
17,355,Mark Grudzielanek,2000,18036,1106,4632,4290,1247,401.0,26.0,600,62,1722,236,222.0,14.0,57,0,0,0,1095,0,8,0,0,0,0,1,41,22.0,grudzma01,355,19.4
18,391,Jamey Carroll,2000,16044,786,2515,2171,593,174.0,17.0,369,12,759,243,239.0,4.0,28,0,0,0,425,214,89,7,1,8,16,3,41,26.0,carroja01,391,10.6
19,391,Jamey Carroll,2010,8046,489,1710,1500,407,91.0,12.0,191,1,482,167,161.0,6.0,9,1,0,0,213,102,175,5,0,0,5,0,33,10.0,carroja01,391,6.1
20,403,Wilton Guerrero,1990,7990,364,1148,1076,310,90.0,5.0,132,8,423,35,34.0,1.0,3,0,0,0,228,0,19,28,1,0,29,5,21,13.0,guerrwi01,403,-0.1
21,428,Jose Vidro,2000,18036,1128,4747,4245,1287,560.0,36.0,610,114,1919,411,378.0,33.0,27,0,0,28,864,0,0,0,0,0,0,200,20,10.0,vidrojo01,428,16.799999999999997
22,434,David Bell,1990,9985,458,1596,1459,374,167.0,15.0,174,35,576,109,101.0,8.0,7,0,0,10,350,100,16,1,0,0,1,0,10,11.0,bellda01,434,1.1999999999999997
23,453,Jeff Kent,1990,15964,1032,4160,3742,1032,668.0,49.0,566,161,1784,297,275.0,22.0,62,0,0,38,831,157,3,0,0,0,0,5,49,31.0,kentje01,453,22.4
24,453,Jeff Kent,2000,18036,1266,5377,4756,1429,850.0,54.0,754,216,2462,504,465.0,39.0,63,0,0,79,1203,0,0,0,0,0,0,2,45,29.0,kentje01,453,33.0
25,496,Luis Castillo,1990,7990,288,1211,1067,284,54.0,3.0,150,2,340,130,130.0,0.0,1,0,0,0,281,0,0,0,0,0,0,0,86,31.0,castilu01,496,2.5999999999999996
26,496,Luis Castillo,2000,20045,1346,5961,5196,1547,372.0,21.0,823,26,1879,631,619.0,12.0,11,0,0,0,1328,0,0,0,0,0,0,0,276,108.0,castilu01,496,26.200000000000003
27,539,Roberto Alomar,1980,3977,301,1313,1168,329,97.0,8.0,166,16,442,100,91.0,9.0,4,0,0,0,300,0,0,0,0,0,0,0,66,23.0,alomaro01,539,8.9
28,539,Roberto Alomar,1990,19945,1421,6270,5443,1678,732.0,64.0,951,135,2506,658,621.0,37.0,31,0,0,0,1381,0,5,0,0,0,0,17,311,73.0,alomaro01,539,45.599999999999994
29,539,Roberto Alomar,2000,10010,657,2817,2462,717,305.0,25.0,391,59,1070,274,258.0,16.0,15,0,0,0,639,0,0,0,0,0,0,5,97,18.0,alomaro01,539,12.699999999999998
30,652,Marlon Anderson,2000,20045,1005,2979,2709,721,313.0,28.0,340,57,1069,202,175.0,27.0,13,0,0,36,550,0,0,92,10,37,139,14,56,22.0,anderma02,652,7.6000000000000005
31,684,Placido Polanco,2000,20045,1332,5655,5177,1581,549.0,33.0,792,88,2162,294,285.0,9.0,79,0,0,1,934,312,85,5,0,0,5,2,68,27.0,polanpl01,684,37.4
