,BATTER,NAME,YEAR,YEAR.1,G,PA,AB,H,RBI,SF,R,HR,TB,BB,UBB,IBB,HBP,G_P,G_C,G_1B,G_2B,G_3B,G_SS,G_LF,G_CF,G_RF,G_OF,G_DH,SB,CS,BASEBALLREFERENCECODE,PLAYERID,WARP
362,28438,Ron Santo,1960,19645,1536,6531,5658,1592,937.0,69.0,816,253,2706,768,702.0,66.0,27,0,0,0,0,1526,16,0,0,0,0,0,27,33.0,santoro01,28438,57.699999999999996
363,28438,Ron Santo,1970,9860,707,2865,2485,662,394.0,25.0,322,89,1073,340,312.0,28.0,11,0,0,3,42,604,2,7,0,1,8,47,8,8.0,santoro01,28438,12.9
364,28487,Paul Schaal,1960,11799,530,1863,1597,357,118.0,13.0,185,24,500,223,210.0,13.0,11,0,0,0,17,488,8,0,0,0,0,0,21,18.0,schaapa01,28487,5.7
365,28487,Paul Schaal,1970,9860,598,2286,1958,512,205.0,17.0,251,33,724,293,285.0,8.0,11,0,0,0,6,565,11,0,0,0,0,0,22,20.0,schaapa01,28487,8.9
366,28563,Mike Schmidt,1970,15804,1084,4506,3713,947,666.0,43.0,674,235,1897,689,626.0,63.0,45,0,0,2,6,1054,17,0,0,0,0,0,117,54.0,schmimi01,28563,50.300000000000004
367,28563,Mike Schmidt,1980,19845,1320,5556,4639,1287,929.0,65.0,832,313,2507,818,680.0,138.0,34,0,0,155,0,1158,7,0,0,0,0,0,57,38.0,schmimi01,28563,56.6
368,28713,Bill Serena,1950,9760,396,1387,1202,303,191.0,1.0,151,47,530,170,0.0,0.0,7,0,0,0,100,235,0,0,0,0,0,0,2,2.0,serenbi01,28713,5.7
369,28725,Joe Sewell,1930,7726,499,2167,1864,528,234.0,0.0,328,19,685,229,0.0,0.0,20,0,0,0,1,472,0,0,0,0,0,0,4,9.0,seweljo01,28725,9.700000000000001
370,28750,Howie Shanks,1920,11535,635,2355,2090,574,238.0,0.0,247,16,796,171,0.0,0.0,10,0,0,16,67,402,43,60,1,15,76,0,36,22.0,shankho01,28750,5.6
371,28757,Mike Shannon,1960,15724,827,2863,2606,673,345.0,17.0,295,68,1026,208,188.0,20.0,10,0,5,0,0,427,0,44,30,294,368,0,18,16.0,shannmi01,28757,9.899999999999999
372,28804,Tommy Sheehan,1900,7621,317,1169,1011,238,88.0,0.0,96,1,283,94,0.0,0.0,7,0,0,0,0,292,11,0,0,0,0,0,32,0.0,sheehto01,28804,3.6999999999999997
373,28956,Sibby Sisti,1940,13613,633,2317,2049,507,172.0,0.0,286,18,669,204,0.0,0.0,13,0,0,0,208,241,97,21,14,17,52,0,19,0.0,sistisi01,28956,2.8000000000000003
374,29035,Charley Smith,1960,19645,771,2686,2484,594,281.0,20.0,228,69,920,130,111.0,19.0,14,0,0,0,1,623,61,13,0,0,13,0,7,12.0,smithch04,29035,4.900000000000001
375,29065,Fred Smith,1910,7659,438,1607,1422,321,158.0,0.0,143,8,434,133,0.0,0.0,9,0,0,1,16,253,157,2,1,1,4,0,58,11.0,smithfr05,29065,-1.2
376,29112,Red Smith,1910,17235,1117,4517,3907,1087,514.0,0.0,477,27,1474,420,0.0,0.0,34,0,0,0,0,1050,0,17,30,3,50,0,117,24.0,smithre02,29112,27.099999999999998
377,29169,Eric Soderholm,1970,15799,799,2947,2619,685,348.0,19.0,364,91,1091,268,255.0,13.0,21,0,0,2,1,722,2,0,0,0,0,30,18,21.0,soderer01,29169,19.8
378,29350,Bill Stein,1970,15804,605,2145,1960,512,198.0,17.0,188,33,725,137,126.0,11.0,10,0,0,3,103,423,6,7,0,10,17,25,12,10.0,steinbi02,29350,3.3000000000000003
379,29361,Harry Steinfeldt,1900,19045,1303,5295,4691,1262,610.0,0.0,574,24,1709,362,0.0,0.0,59,0,0,1,116,1158,16,1,0,3,4,0,163,0.0,steinha01,29361,27.500000000000004
380,29381,Vern Stephens,1950,11715,566,2239,2021,569,350.0,8.0,293,70,903,197,7.0,0.0,2,0,0,0,0,318,204,0,0,0,0,0,6,7.0,stephve01,29381,10.399999999999999
381,29429,Milt Stock,1910,13412,731,2976,2655,733,247.0,0.0,346,9,909,220,0.0,0.0,9,0,0,0,77,599,46,0,0,0,0,0,102,28.0,stockmi01,29429,15.900000000000002
382,29429,Milt Stock,1920,13461,897,3975,3594,1073,449.0,0.0,493,13,1349,235,0.0,0.0,4,0,0,0,145,750,1,0,0,0,0,0,53,47.0,stockmi01,29429,6.5
383,29478,Sammy Strang,1900,17136,889,3460,2887,778,246.0,0.0,473,16,994,458,0.0,0.0,43,0,0,7,238,393,31,11,63,92,166,0,212,0.0,stransa01,29478,18.1
384,29480,Doug Strange,1990,15956,643,1850,1663,392,197.0,13.0,178,30,577,138,123.0,15.0,13,0,0,7,220,285,1,18,0,2,20,11,11,12.0,strando01,29480,1.0
385,29504,Joe Stripp,1930,17406,1040,4258,3885,1158,427.0,0.0,533,20,1503,248,0.0,0.0,10,0,0,163,0,842,4,0,0,1,1,0,48,0.0,stripjo01,29504,14.3
386,29646,Bill Sweeney,1900,5724,326,1247,1112,273,95.0,0.0,113,1,324,98,0.0,0.0,0,0,0,1,6,258,47,9,1,1,11,0,51,0.0,sweenbi02,29646,2.8000000000000003
387,29682,Jim Tabor,1940,13603,837,3451,3154,836,495.0,0.0,389,89,1296,245,0.0,0.0,5,0,0,0,0,821,0,2,0,0,2,0,53,43.0,taborji01,29682,7.899999999999999
388,29694,Lee Tannehill,1900,13342,878,3353,3029,651,276.0,0.0,254,2,807,185,0.0,0.0,18,0,0,0,0,652,226,0,0,0,0,0,60,0.0,tannele01,29694,16.200000000000003
389,29795,Jerry Terrell,1970,13832,634,1750,1610,411,125.0,10.0,214,4,493,76,74.0,2.0,6,1,0,23,162,192,191,6,1,10,17,21,50,23.0,terreje01,29795,0.49999999999999994
390,29881,Hank Thompson,1950,13671,831,3159,2650,704,443.0,15.0,431,120,1215,441,109.0,6.0,21,0,0,0,14,654,2,30,53,21,104,0,26,14.0,thompha02,29881,22.6
391,29993,Joe Torre,1970,15788,1013,4024,3572,1081,532.0,22.0,454,92,1582,379,308.0,71.0,44,0,90,399,0,515,0,0,0,0,0,0,13,8.0,torrejo01,29993,21.300000000000004
392,29996,Felix Torres,1960,5889,365,1291,1191,302,153.0,12.0,109,27,454,71,66.0,5.0,8,0,0,5,0,317,0,0,0,0,0,0,2,3.0,torrefe01,29996,2.1
393,30027,Pie Traynor,1920,19245,1186,5115,4650,1496,804.0,0.0,764,42,2066,272,0.0,0.0,21,0,0,0,0,1135,50,0,0,0,0,0,129,46.0,traynpi01,30027,23.0
394,30027,Pie Traynor,1930,13532,755,3178,2909,920,469.0,0.0,419,16,1223,200,0.0,0.0,10,0,0,1,0,728,0,0,0,0,0,0,29,0.0,traynpi01,30027,13.200000000000001
395,30094,Terry Turner,1910,19145,991,3940,3407,849,267.0,0.0,421,1,1045,327,0.0,0.0,16,0,0,0,224,602,146,0,0,0,0,0,148,31.0,turnete01,30094,16.2
396,30265,Johnny Vergez,1930,11601,672,2537,2323,593,292.0,0.0,258,52,895,171,0.0,0.0,17,0,0,0,0,658,3,0,0,0,0,0,22,0.0,vergejo01,30265,4.8
397,30294,Ossie Vitt,1910,15324,900,3830,3232,785,254.0,0.0,481,3,965,367,0.0,0.0,11,0,0,0,140,698,3,28,6,1,35,0,108,34.0,vittos01,30294,14.3
398,30423,Jimmy Walsh,1910,11475,502,1736,1571,447,212.0,0.0,178,25,634,101,0.0,0.0,10,1,9,1,78,253,22,29,16,33,78,0,45,0.0,walshji01,30423,4.200000000000001
399,30434,Bucky Walters,1930,17415,449,1384,1269,318,150.0,0.0,156,16,460,77,0.0,0.0,5,181,0,0,16,184,0,5,0,0,5,0,5,1.0,waltebu01,30434,3.0
400,30466,Pete Ward,1960,15724,907,3424,2983,756,409.0,27.0,340,97,1211,362,321.0,41.0,40,0,0,100,2,562,1,139,0,54,193,0,20,17.0,wardpe01,30466,19.9
401,30480,Jack Warner,1920,9635,341,1341,1177,301,98.0,0.0,162,1,378,111,0.0,0.0,12,0,0,0,0,295,27,0,0,0,0,0,29,13.0,warneja01,30480,0.7000000000000001
402,30626,Billy Werber,1930,15482,945,4276,3652,1025,432.0,0.0,663,61,1508,529,0.0,0.0,18,0,0,0,3,800,96,39,2,7,48,0,176,68.0,werbebi01,30626,18.4
403,30626,Billy Werber,1940,5823,350,1569,1372,338,107.0,0.0,212,17,460,172,0.0,0.0,14,0,0,0,0,343,0,0,0,0,0,0,39,0.0,werbebi01,30626,6.6
404,30633,Don Wert,1960,13762,962,3881,3437,848,331.0,27.0,381,71,1206,341,312.0,29.0,26,0,0,0,22,919,18,0,0,0,0,0,21,21.0,wertdo01,30633,11.8
405,30748,Pinky Whitney,1920,3857,305,1333,1197,376,218.0,0.0,162,18,544,97,0.0,0.0,3,0,0,0,0,303,0,0,0,0,0,0,10,0.0,whitnpi01,30748,4.9
406,30748,Pinky Whitney,1930,19345,1234,4984,4568,1325,709.0,0.0,534,75,1851,303,0.0,0.0,14,0,0,16,119,1055,2,0,0,0,0,0,35,0.0,whitnpi01,30748,13.8
407,31032,Harry Wolverton,1900,11415,637,2746,2513,691,297.0,0.0,286,6,870,133,0.0,0.0,37,0,0,0,0,637,0,0,0,0,0,0,67,0.0,wolveha01,31032,9.700000000000001
408,31123,Russ Wrightstone,1920,17316,929,3283,2992,889,425.0,0.0,427,60,1289,215,0.0,0.0,22,0,0,203,47,368,75,85,0,33,118,0,35,20.0,wrighru01,31123,5.800000000000001
409,31157,Joe Yeager,1900,15232,508,1853,1672,435,182.0,0.0,180,4,573,97,0.0,0.0,46,48,0,0,47,294,70,7,0,6,13,0,36,0.0,yeagejo01,31157,9.3
410,31180,Eddie Yost,1940,9734,399,1711,1457,354,110.0,0.0,188,11,498,224,0.0,0.0,7,0,0,0,0,391,2,0,0,0,0,0,12,12.0,yosted01,31180,0.3999999999999999
411,31180,Eddie Yost,1950,19545,1439,6425,5075,1312,501.0,14.0,898,111,1941,1185,521.0,14.0,81,0,0,2,1,1380,0,7,0,8,15,0,55,47.0,yosted01,31180,31.299999999999997
412,31259,Don Zimmer,1960,11775,658,2150,1977,475,193.0,6.0,212,49,742,143,134.0,9.0,7,0,35,0,224,308,7,4,0,4,8,0,20,15.0,zimmedo01,31259,3.0
